context,variable,dataset_source,category,n,total_n,prop
01_all_integrated_rows,dataset_source,diego,diego,1899,1899,1
01_all_integrated_rows,dataset_source,rv,rv,1229,1229,1
01_all_integrated_rows,dataset_source,why,why,990,990,1
01_all_integrated_rows,source_survey,diego,Survey_September2023_cleaned,1899,1899,1
01_all_integrated_rows,source_survey,rv,decision,902,1229,0.7339300244100895
01_all_integrated_rows,source_survey,rv,energy_crisis,107,1229,0.0870626525630594
01_all_integrated_rows,source_survey,rv,concerns2,100,1229,0.08136696501220504
01_all_integrated_rows,source_survey,rv,poverty,38,1229,0.030919446704637917
01_all_integrated_rows,source_survey,rv,concerns2;decision,16,1229,0.013018714401952807
01_all_integrated_rows,source_survey,rv,concerns2;energy_crisis;poverty,14,1229,0.011391375101708706
01_all_integrated_rows,source_survey,rv,concerns2;decision;poverty,12,1229,0.009764035801464606
01_all_integrated_rows,source_survey,rv,concerns2;decision;energy_crisis;poverty,10,1229,0.008136696501220505
01_all_integrated_rows,source_survey,rv,decision;energy_crisis,10,1229,0.008136696501220505
01_all_integrated_rows,source_survey,rv,decision;energy_crisis;poverty,7,1229,0.005695687550854353
01_all_integrated_rows,source_survey,rv,concerns2;energy_crisis,4,1229,0.0032546786004882017
01_all_integrated_rows,source_survey,rv,concerns2;poverty,4,1229,0.0032546786004882017
01_all_integrated_rows,source_survey,rv,energy_crisis;poverty,4,1229,0.0032546786004882017
01_all_integrated_rows,source_survey,rv,decision;poverty,1,1229,8.136696501220504e-4
01_all_integrated_rows,source_survey,why,Investment_Arquetypes_2022,990,990,1
01_all_integrated_rows,country_model,diego,IT,499,1899,0.26276987888362296
01_all_integrated_rows,country_model,diego,DE,474,1899,0.24960505529225907
01_all_integrated_rows,country_model,diego,ES,373,1899,0.196419167983149
01_all_integrated_rows,country_model,diego,NL,276,1899,0.14533965244865718
01_all_integrated_rows,country_model,diego,GR,189,1899,0.0995260663507109
01_all_integrated_rows,country_model,diego,BE,86,1899,0.04528699315429173
01_all_integrated_rows,country_model,diego,OTHER_EU,2,1899,0.00105318588730911
01_all_integrated_rows,country_model,rv,ES,237,1229,0.19283970707892595
01_all_integrated_rows,country_model,rv,GB,182,1229,0.14808787632221318
01_all_integrated_rows,country_model,rv,FR,121,1229,0.0984540276647681
01_all_integrated_rows,country_model,rv,DE,120,1229,0.09764035801464606
01_all_integrated_rows,country_model,rv,Missing,116,1229,0.09438567941415785
01_all_integrated_rows,country_model,rv,IT,108,1229,0.08787632221318145
01_all_integrated_rows,country_model,rv,PL,75,1229,0.061025223759153785
01_all_integrated_rows,country_model,rv,RO,34,1229,0.027664768104149716
01_all_integrated_rows,country_model,rv,PT,29,1229,0.023596419853539462
01_all_integrated_rows,country_model,rv,NL,28,1229,0.022782750203417412
01_all_integrated_rows,country_model,rv,BE,20,1229,0.01627339300244101
01_all_integrated_rows,country_model,rv,GR,17,1229,0.013832384052074858
01_all_integrated_rows,country_model,rv,CZ,16,1229,0.013018714401952807
01_all_integrated_rows,country_model,rv,HU,15,1229,0.012205044751830757
01_all_integrated_rows,country_model,rv,SE,15,1229,0.012205044751830757
01_all_integrated_rows,country_model,rv,CH,12,1229,0.009764035801464606
01_all_integrated_rows,country_model,rv,IE,12,1229,0.009764035801464606
01_all_integrated_rows,country_model,rv,AT,11,1229,0.008950366151342554
01_all_integrated_rows,country_model,rv,FI,11,1229,0.008950366151342554
01_all_integrated_rows,country_model,rv,SK,10,1229,0.008136696501220505
01_all_integrated_rows,country_model,rv,DK,9,1229,0.007323026851098454
01_all_integrated_rows,country_model,rv,NO,8,1229,0.006509357200976403
01_all_integrated_rows,country_model,rv,EE,5,1229,0.0040683482506102524
01_all_integrated_rows,country_model,rv,SI,5,1229,0.0040683482506102524
01_all_integrated_rows,country_model,rv,LV,4,1229,0.0032546786004882017
01_all_integrated_rows,country_model,rv,BG,3,1229,0.0024410089503661514
01_all_integrated_rows,country_model,rv,IS,2,1229,0.0016273393002441008
01_all_integrated_rows,country_model,rv,LT,2,1229,0.0016273393002441008
01_all_integrated_rows,country_model,rv,LU,1,1229,8.136696501220504e-4
01_all_integrated_rows,country_model,rv,MT,1,1229,8.136696501220504e-4
01_all_integrated_rows,country_model,why,DE,207,990,0.20909090909090908
01_all_integrated_rows,country_model,why,IT,160,990,0.16161616161616163
01_all_integrated_rows,country_model,why,FR,92,990,0.09292929292929293
01_all_integrated_rows,country_model,why,NL,92,990,0.09292929292929293
01_all_integrated_rows,country_model,why,ES,88,990,0.08888888888888889
01_all_integrated_rows,country_model,why,PL,82,990,0.08282828282828283
01_all_integrated_rows,country_model,why,HU,69,990,0.0696969696969697
01_all_integrated_rows,country_model,why,BE,32,990,0.03232323232323232
01_all_integrated_rows,country_model,why,GR,32,990,0.03232323232323232
01_all_integrated_rows,country_model,why,IE,32,990,0.03232323232323232
01_all_integrated_rows,country_model,why,PT,19,990,0.01919191919191919
01_all_integrated_rows,country_model,why,AT,17,990,0.01717171717171717
01_all_integrated_rows,country_model,why,CZ,16,990,0.01616161616161616
01_all_integrated_rows,country_model,why,LV,14,990,0.014141414141414142
01_all_integrated_rows,country_model,why,FI,12,990,0.012121212121212121
01_all_integrated_rows,country_model,why,SI,12,990,0.012121212121212121
01_all_integrated_rows,country_model,why,SE,9,990,0.00909090909090909
01_all_integrated_rows,country_model,why,EE,3,990,0.0030303030303030303
01_all_integrated_rows,country_model,why,DK,2,990,0.00202020202020202
01_all_integrated_rows,country_model_grouped,diego,IT,499,1899,0.26276987888362296
01_all_integrated_rows,country_model_grouped,diego,DE,474,1899,0.24960505529225907
01_all_integrated_rows,country_model_grouped,diego,ES,373,1899,0.196419167983149
01_all_integrated_rows,country_model_grouped,diego,NL,276,1899,0.14533965244865718
01_all_integrated_rows,country_model_grouped,diego,GR,189,1899,0.0995260663507109
01_all_integrated_rows,country_model_grouped,diego,BE,86,1899,0.04528699315429173
01_all_integrated_rows,country_model_grouped,diego,OTHER_COUNTRIES,2,1899,0.00105318588730911
01_all_integrated_rows,country_model_grouped,rv,ES,237,1229,0.19283970707892595
01_all_integrated_rows,country_model_grouped,rv,GB,182,1229,0.14808787632221318
01_all_integrated_rows,country_model_grouped,rv,FR,121,1229,0.0984540276647681
01_all_integrated_rows,country_model_grouped,rv,DE,120,1229,0.09764035801464606
01_all_integrated_rows,country_model_grouped,rv,UNKNOWN,116,1229,0.09438567941415785
01_all_integrated_rows,country_model_grouped,rv,IT,108,1229,0.08787632221318145
01_all_integrated_rows,country_model_grouped,rv,PL,75,1229,0.061025223759153785
01_all_integrated_rows,country_model_grouped,rv,RO,34,1229,0.027664768104149716
01_all_integrated_rows,country_model_grouped,rv,PT,29,1229,0.023596419853539462
01_all_integrated_rows,country_model_grouped,rv,NL,28,1229,0.022782750203417412
01_all_integrated_rows,country_model_grouped,rv,OTHER_COUNTRIES,22,1229,0.01790073230268511
01_all_integrated_rows,country_model_grouped,rv,BE,20,1229,0.01627339300244101
01_all_integrated_rows,country_model_grouped,rv,GR,17,1229,0.013832384052074858
01_all_integrated_rows,country_model_grouped,rv,CZ,16,1229,0.013018714401952807
01_all_integrated_rows,country_model_grouped,rv,HU,15,1229,0.012205044751830757
01_all_integrated_rows,country_model_grouped,rv,SE,15,1229,0.012205044751830757
01_all_integrated_rows,country_model_grouped,rv,CH,12,1229,0.009764035801464606
01_all_integrated_rows,country_model_grouped,rv,IE,12,1229,0.009764035801464606
01_all_integrated_rows,country_model_grouped,rv,AT,11,1229,0.008950366151342554
01_all_integrated_rows,country_model_grouped,rv,FI,11,1229,0.008950366151342554
01_all_integrated_rows,country_model_grouped,rv,SK,10,1229,0.008136696501220505
01_all_integrated_rows,country_model_grouped,rv,DK,9,1229,0.007323026851098454
01_all_integrated_rows,country_model_grouped,rv,SI,5,1229,0.0040683482506102524
01_all_integrated_rows,country_model_grouped,rv,LV,4,1229,0.0032546786004882017
01_all_integrated_rows,country_model_grouped,why,DE,207,990,0.20909090909090908
01_all_integrated_rows,country_model_grouped,why,IT,160,990,0.16161616161616163
01_all_integrated_rows,country_model_grouped,why,FR,92,990,0.09292929292929293
01_all_integrated_rows,country_model_grouped,why,NL,92,990,0.09292929292929293
01_all_integrated_rows,country_model_grouped,why,ES,88,990,0.08888888888888889
01_all_integrated_rows,country_model_grouped,why,PL,82,990,0.08282828282828283
01_all_integrated_rows,country_model_grouped,why,HU,69,990,0.0696969696969697
01_all_integrated_rows,country_model_grouped,why,BE,32,990,0.03232323232323232
01_all_integrated_rows,country_model_grouped,why,GR,32,990,0.03232323232323232
01_all_integrated_rows,country_model_grouped,why,IE,32,990,0.03232323232323232
