"pattern","freq","best_archetype_within_K","best_dist_within_K","best_sim_jaccard_within_K"
"pattern_2",2401891,"Homo.Economicus",3,0
"pattern_3",765600,"Homo.Economicus",5,0
"pattern_7",641140,"Homo.Economicus",5,0
"pattern_4",614310,"Homo.Economicus",4,0
"pattern_5",456741,"Homo.Economicus",6,0
"pattern_9",448670,"Homo.Economicus",5,0
"pattern_12",395733,"Homo.Economicus",8,0.111111111111111
"pattern_15",259800,"Homo.Economicus",7,0.125
"pattern_25",257482,"Homo.Economicus",3,0
"pattern_22",226490,"Homo.Economicus",6,0
"pattern_11",197843,"Homo.Economicus",5,0
"pattern_18",148053,"Homo.Economicus",6,0
"pattern_24",147185,"Homo.Economicus",4,0.2
"pattern_1",120793,"Homo.Economicus",4,0
"pattern_17",114680,"Homo.Economicus",5,0
"pattern_20",100929,"Homo.Economicus",4,0
"pattern_13",90681,"Homo.Economicus",5,0
"pattern_19",78792,"Homo.Economicus",4,0
"pattern_16",77851,"Homo.Economicus",6,0.142857142857143
"pattern_6",51565,"Homo.Economicus",5,0.166666666666667
"pattern_23",47029,"Homo.Economicus",6,0
"pattern_27",45834,"Homo.Economicus",4,0
"pattern_28",38070,"Homo.Economicus",6,0.142857142857143
"pattern_34",33864,"Homo.Economicus",5,0
"pattern_29",33432,"Homo.Economicus",5,0
"pattern_14",27812,"Homo.Economicus",5,0
"pattern_8",23041,"Homo.Economicus",5,0.166666666666667
"pattern_31",14697,"Homo.Economicus",4,0
"pattern_36",12983,"Homo.Economicus",6,0.142857142857143
"pattern_35",12783,"Homo.Economicus",6,0
"pattern_10",11735,"Homo.Economicus",6,0
"pattern_38",11239,"Homo.Economicus",7,0
"pattern_40",9924,"Homo.Economicus",6,0
"pattern_30",9642,"Homo.Economicus",5,0.166666666666667
"pattern_33",9569,"Homo.Economicus",6,0
"pattern_32",7298,"Homo.Economicus",6,0
"pattern_39",6420,"Homo.Economicus",4,0
"pattern_21",4906,"Homo.Economicus",5,0
"pattern_53",4883,"Homo.Economicus",7,0.125
"pattern_48",3915,"Homo.Economicus",7,0
