left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,EFA1,8,8,0,0,0,0,
KM1,EFA2,8,8,5,62.5,62.5,45.45454545454545,det_08_trust; det_11_knowledge; det_13_technical_fit; det_16_commitment; det_17_adherence
KM1,EFA3,8,8,2,25,25,14.285714285714286,det_11_knowledge; det_16_commitment
KM1,EFA4,8,8,4,50,50,33.333333333333336,det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
KM1,EFA5,8,8,1,12.5,12.5,6.666666666666667,det_13_technical_fit
KM1,EFA6,8,8,2,25,25,14.285714285714286,det_15_self_satisfaction; det_16_commitment
KM2,EFA1,15,8,0,0,0,0,
KM2,EFA2,15,8,6,40,75,35.294117647058826,det_03_risk_profile; det_08_trust; det_11_knowledge; det_13_technical_fit; det_16_commitment; det_17_adherence
KM2,EFA3,15,8,3,20,37.5,15,det_01_profits; det_11_knowledge; det_16_commitment
KM2,EFA4,15,8,8,53.333333333333336,100,53.333333333333336,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy
KM2,EFA5,15,8,3,20,37.5,15,det_09_safety; det_13_technical_fit; det_18_autonomy
KM2,EFA6,15,8,6,40,75,35.294117647058826,det_09_safety; det_15_self_satisfaction; det_16_commitment; det_18_autonomy; det_19_wellbeing; det_20_coziness
KM3,EFA1,15,8,0,0,0,0,
KM3,EFA2,15,8,8,53.333333333333336,100,53.333333333333336,det_03_risk_profile; det_07_legal; det_08_trust; det_11_knowledge; det_13_technical_fit; det_16_commitment; det_17_adherence; det_21_rights_and_duties
KM3,EFA3,15,8,4,26.666666666666668,50,21.05263157894737,det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_16_commitment
KM3,EFA4,15,8,5,33.333333333333336,62.5,27.77777777777778,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
KM3,EFA5,15,8,2,13.333333333333334,25,9.523809523809524,det_09_safety; det_13_technical_fit
KM3,EFA6,15,8,3,20,37.5,15,det_09_safety; det_15_self_satisfaction; det_16_commitment
KM4,EFA1,13,8,0,0,0,0,
KM4,EFA2,13,8,5,38.46153846153846,62.5,31.25,det_03_risk_profile; det_08_trust; det_11_knowledge; det_13_technical_fit; det_17_adherence
KM4,EFA3,13,8,6,46.15384615384615,75,40,det_04_added_value; det_06_climate_protection; det_11_knowledge; det_14_environmental_concerns; det_23_support; det_32_own_significance
KM4,EFA4,13,8,5,38.46153846153846,62.5,31.25,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
KM4,EFA5,13,8,2,15.384615384615385,25,10.526315789473685,det_13_technical_fit; det_32_own_significance
KM4,EFA6,13,8,1,7.6923076923076925,12.5,5,det_15_self_satisfaction
KM5,EFA1,14,8,0,0,0,0,
KM5,EFA2,14,8,7,50,87.5,46.666666666666664,det_03_risk_profile; det_07_legal; det_08_trust; det_11_knowledge; det_13_technical_fit; det_17_adherence; det_21_rights_and_duties
KM5,EFA3,14,8,2,14.285714285714286,25,10,det_01_profits; det_11_knowledge
KM5,EFA4,14,8,7,50,87.5,46.666666666666664,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
KM5,EFA5,14,8,1,7.142857142857143,12.5,4.761904761904762,det_13_technical_fit
KM5,EFA6,14,8,2,14.285714285714286,25,10,det_15_self_satisfaction; det_20_coziness
KM6,EFA1,8,8,0,0,0,0,
KM6,EFA2,8,8,1,12.5,12.5,6.666666666666667,det_03_risk_profile
KM6,EFA3,8,8,1,12.5,12.5,6.666666666666667,det_01_profits
KM6,EFA4,8,8,6,75,75,60,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_15_self_satisfaction
KM6,EFA5,8,8,0,0,0,0,
KM6,EFA6,8,8,3,37.5,37.5,23.076923076923077,det_15_self_satisfaction; det_19_wellbeing; det_20_coziness
