method,matrix_name,d_det,source_candidate,n_elements,total_weight,weight_pct
EFA,matrix_32_raw_0_1,9,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_raw_0_1,9,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_raw_0_1,9,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_raw_0_1,9,8,800,100,19.999999999999954
EFA,matrix_32_raw_0_1,10,4,400,100,19.999999999999954
EFA,matrix_32_raw_0_1,10,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_raw_0_1,10,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_raw_0_1,10,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_raw_0_1,10,8,800,100,19.999999999999954
EFA,matrix_32_raw_0_1,11,4,400,100,19.999999999999954
EFA,matrix_32_raw_0_1,11,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_raw_0_1,11,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_raw_0_1,11,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_raw_0_1,11,8,800,100,19.999999999999954
EFA,matrix_32_raw_0_1,12,4,400,100,19.999999999999954
EFA,matrix_32_raw_0_1,12,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_raw_0_1,12,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_raw_0_1,12,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_raw_0_1,12,8,800,100,19.999999999999954
EFA,matrix_32_raw_0_1,13,4,400,100,19.999999999999954
EFA,matrix_32_raw_0_1,13,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_raw_0_1,13,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_raw_0_1,13,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_raw_0_1,13,8,800,100,19.999999999999954
EFA,matrix_32_raw_0_1,14,4,400,100,19.999999999999954
EFA,matrix_32_raw_0_1,14,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_raw_0_1,14,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_raw_0_1,14,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_raw_0_1,14,8,800,100,19.999999999999954
EFA,matrix_32_raw_0_1,15,4,400,100,19.999999999999954
EFA,matrix_32_raw_0_1,15,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_raw_0_1,15,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_raw_0_1,15,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_raw_0_1,15,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,8,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,8,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,8,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,8,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,8,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,9,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,9,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,9,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,9,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,9,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,10,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,10,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,10,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,10,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,10,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,11,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,11,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,11,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,11,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,11,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,12,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,12,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,12,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,12,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,12,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,13,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,13,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,13,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,13,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,13,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,14,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,14,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,14,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,14,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,14,8,800,100,19.999999999999954
EFA,matrix_32_z_abs,15,4,400,100,19.999999999999954
EFA,matrix_32_z_abs,15,5,500,100.00000000000088,20.000000000000128
EFA,matrix_32_z_abs,15,6,600,100.00000000000065,20.000000000000085
EFA,matrix_32_z_abs,15,7,700,99.99999999999957,19.999999999999872
EFA,matrix_32_z_abs,15,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,8,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,8,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,8,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,8,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,8,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,9,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,9,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,9,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,9,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,9,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,10,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,10,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,10,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,10,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,10,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,11,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,11,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,11,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,11,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,11,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,12,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,12,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,12,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,12,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,12,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,13,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,13,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,13,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,13,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,13,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,14,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,14,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,14,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,14,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,14,8,800,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,15,4,400,100,19.999999999999954
KMEANS,matrix_32_ext_0_1,15,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_ext_0_1,15,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_ext_0_1,15,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_ext_0_1,15,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,8,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,8,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,8,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,8,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,8,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,9,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,9,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,9,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,9,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,9,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,10,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,10,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,10,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,10,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,10,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,11,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,11,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,11,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,11,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,11,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,12,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,12,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,12,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,12,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,12,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,13,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,13,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,13,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,13,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,13,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,14,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,14,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,14,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,14,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,14,8,800,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,15,4,400,100,19.999999999999954
KMEANS,matrix_32_pos_0_1,15,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_pos_0_1,15,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_pos_0_1,15,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_pos_0_1,15,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,8,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,8,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,8,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,8,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,8,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,9,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,9,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,9,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,9,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,9,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,10,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,10,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,10,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,10,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,10,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,11,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,11,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,11,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,11,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,11,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,12,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,12,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,12,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,12,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,12,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,13,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,13,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,13,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,13,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,13,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,14,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,14,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,14,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,14,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,14,8,800,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,15,4,400,100,19.999999999999954
KMEANS,matrix_32_raw_0_1,15,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_raw_0_1,15,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_raw_0_1,15,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_raw_0_1,15,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,8,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,8,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,8,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,8,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,8,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,9,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,9,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,9,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,9,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,9,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,10,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,10,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,10,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,10,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,10,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,11,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,11,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,11,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,11,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,11,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,12,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,12,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,12,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,12,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,12,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,13,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,13,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,13,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,13,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,13,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,14,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,14,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,14,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,14,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,14,8,800,100,19.999999999999954
KMEANS,matrix_32_z_abs,15,4,400,100,19.999999999999954
KMEANS,matrix_32_z_abs,15,5,500,100.00000000000088,20.000000000000128
KMEANS,matrix_32_z_abs,15,6,600,100.00000000000065,20.000000000000085
KMEANS,matrix_32_z_abs,15,7,700,99.99999999999957,19.999999999999872
KMEANS,matrix_32_z_abs,15,8,800,100,19.999999999999954
