left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,Activist,12,6,4,33.333333333333336,66.66666666666667,28.571428571428573,det_08_trust; det_15_self_satisfaction; det_16_commitment; det_17_adherence
KM1,Careful,12,12,7,58.333333333333336,58.333333333333336,41.1764705882353,det_08_trust; det_09_safety; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
KM1,Early.Adopter,12,6,3,25,50,20,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM1,Fearful,12,9,5,41.666666666666664,55.55555555555556,31.25,det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_19_wellbeing
KM1,Homo.Economicus,12,9,5,41.666666666666664,55.55555555555556,31.25,det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_15_self_satisfaction
KM1,Influencer,12,5,1,8.333333333333334,20,6.25,det_11_knowledge
KM1,Stubborn,12,3,3,25,100,25,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM1,Uninterested,12,6,3,25,50,20,det_07_legal; det_19_wellbeing; det_20_coziness
KM2,Activist,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_17_adherence
KM2,Careful,8,12,4,50,33.333333333333336,25,det_02_credit_score; det_03_risk_profile; det_09_safety; det_17_adherence
KM2,Early.Adopter,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_17_adherence
KM2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_07_legal; det_09_safety
KM2,Homo.Economicus,8,9,2,25,22.22222222222222,13.333333333333334,det_07_legal; det_09_safety
KM2,Influencer,8,5,0,0,0,0,
KM2,Stubborn,8,3,1,12.5,33.333333333333336,10,det_17_adherence
KM2,Uninterested,8,6,1,12.5,16.666666666666668,7.6923076923076925,det_07_legal
KM3,Activist,9,6,1,11.11111111111111,16.666666666666668,7.142857142857143,det_14_environmental_concerns
KM3,Careful,9,12,3,33.333333333333336,25,16.666666666666668,det_06_climate_protection; det_14_environmental_concerns; det_19_wellbeing
KM3,Early.Adopter,9,6,1,11.11111111111111,16.666666666666668,7.142857142857143,det_14_environmental_concerns
KM3,Fearful,9,9,2,22.22222222222222,22.22222222222222,12.5,det_07_legal; det_19_wellbeing
KM3,Homo.Economicus,9,9,2,22.22222222222222,22.22222222222222,12.5,det_04_added_value; det_07_legal
KM3,Influencer,9,5,0,0,0,0,
KM3,Stubborn,9,3,0,0,0,0,
KM3,Uninterested,9,6,2,22.22222222222222,33.333333333333336,15.384615384615385,det_07_legal; det_19_wellbeing
KM4,Activist,8,6,3,37.5,50,27.272727272727273,det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction
KM4,Careful,8,12,2,25,16.666666666666668,11.11111111111111,det_10_cost_efficiency; det_14_environmental_concerns
KM4,Early.Adopter,8,6,2,25,33.333333333333336,16.666666666666668,det_14_environmental_concerns; det_15_self_satisfaction
KM4,Fearful,8,9,3,37.5,33.333333333333336,21.428571428571427,det_07_legal; det_10_cost_efficiency; det_13_technical_fit
KM4,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_04_added_value; det_07_legal; det_10_cost_efficiency; det_13_technical_fit; det_15_self_satisfaction
KM4,Influencer,8,5,1,12.5,20,8.333333333333334,det_24_socialising
KM4,Stubborn,8,3,1,12.5,33.333333333333336,10,det_15_self_satisfaction
KM4,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_07_legal; det_13_technical_fit
KM5,Activist,8,6,2,25,33.333333333333336,16.666666666666668,det_13_technical_fit; det_15_self_satisfaction
KM5,Careful,8,12,3,37.5,25,17.647058823529413,det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing
KM5,Early.Adopter,8,6,2,25,33.333333333333336,16.666666666666668,det_11_knowledge; det_15_self_satisfaction
KM5,Fearful,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
KM5,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM5,Influencer,8,5,1,12.5,20,8.333333333333334,det_11_knowledge
KM5,Stubborn,8,3,2,25,66.66666666666667,22.22222222222222,det_11_knowledge; det_15_self_satisfaction
KM5,Uninterested,8,6,3,37.5,50,27.272727272727273,det_07_legal; det_13_technical_fit; det_19_wellbeing
KM6,Activist,15,6,3,20,50,16.666666666666668,det_08_trust; det_13_technical_fit; det_17_adherence
KM6,Careful,15,12,7,46.666666666666664,58.333333333333336,35,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_12_own_competence; det_17_adherence
KM6,Early.Adopter,15,6,3,20,50,16.666666666666668,det_11_knowledge; det_17_adherence; det_29_trends
KM6,Fearful,15,9,7,46.666666666666664,77.77777777777777,41.1764705882353,det_02_credit_score; det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_13_technical_fit
KM6,Homo.Economicus,15,9,5,33.333333333333336,55.55555555555556,26.31578947368421,det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_13_technical_fit
KM6,Influencer,15,5,1,6.666666666666667,20,5.2631578947368425,det_11_knowledge
KM6,Stubborn,15,3,2,13.333333333333334,66.66666666666667,12.5,det_11_knowledge; det_17_adherence
KM6,Uninterested,15,6,2,13.333333333333334,33.333333333333336,10.526315789473685,det_07_legal; det_13_technical_fit
