sample_context,comparison_region,subsample,dataset_source,row_quality_final,n,total_n,prop
01_all_integrated_rows,EUROPE,DIEGO,diego,usable_complete,1857,1899,0.9778830963665087
01_all_integrated_rows,EUROPE,DIEGO,diego,usable_complete_limited_metadata,42,1899,0.022116903633491312
01_all_integrated_rows,EUROPE,RENOVISOR,rv,no_determinants,274,1229,0.2229454841334418
01_all_integrated_rows,EUROPE,RENOVISOR,rv,suspicious_determinants,7,1229,0.005695687550854353
01_all_integrated_rows,EUROPE,RENOVISOR,rv,too_many_missing_determinants,54,1229,0.043938161106590726
01_all_integrated_rows,EUROPE,RENOVISOR,rv,usable_complete,546,1229,0.44426362896663957
01_all_integrated_rows,EUROPE,RENOVISOR,rv,usable_complete_limited_metadata,47,1229,0.03824247355573637
01_all_integrated_rows,EUROPE,RENOVISOR,rv,usable_partial,279,1229,0.22701383238405207
01_all_integrated_rows,EUROPE,RENOVISOR,rv,usable_partial_limited_metadata,22,1229,0.01790073230268511
01_all_integrated_rows,EUROPE,WHY_EUROPE,why,no_determinants,9,990,0.00909090909090909
01_all_integrated_rows,EUROPE,WHY_EUROPE,why,suspicious_determinants,2,990,0.00202020202020202
01_all_integrated_rows,EUROPE,WHY_EUROPE,why,too_many_missing_determinants,8,990,0.00808080808080808
01_all_integrated_rows,EUROPE,WHY_EUROPE,why,usable_complete,806,990,0.8141414141414142
01_all_integrated_rows,EUROPE,WHY_EUROPE,why,usable_partial,164,990,0.16565656565656567
01_all_integrated_rows,EUROPE,WHY_EUROPE,why,usable_partial_limited_metadata,1,990,0.00101010101010101
01_all_integrated_rows,LATAM,WHY_LATAM,why,no_determinants,11,638,0.017241379310344827
01_all_integrated_rows,LATAM,WHY_LATAM,why,suspicious_determinants,6,638,0.009404388714733543
01_all_integrated_rows,LATAM,WHY_LATAM,why,too_many_missing_determinants,13,638,0.02037617554858934
01_all_integrated_rows,LATAM,WHY_LATAM,why,usable_complete,404,638,0.6332288401253918
01_all_integrated_rows,LATAM,WHY_LATAM,why,usable_complete_limited_metadata,75,638,0.11755485893416928
01_all_integrated_rows,LATAM,WHY_LATAM,why,usable_partial,65,638,0.10188087774294671
01_all_integrated_rows,LATAM,WHY_LATAM,why,usable_partial_limited_metadata,64,638,0.10031347962382445
02_usable_for_main_analysis,EUROPE,DIEGO,diego,usable_complete,1857,1899,0.9778830963665087
02_usable_for_main_analysis,EUROPE,DIEGO,diego,usable_complete_limited_metadata,42,1899,0.022116903633491312
02_usable_for_main_analysis,EUROPE,RENOVISOR,rv,usable_complete,546,894,0.610738255033557
02_usable_for_main_analysis,EUROPE,RENOVISOR,rv,usable_complete_limited_metadata,47,894,0.052572706935123045
02_usable_for_main_analysis,EUROPE,RENOVISOR,rv,usable_partial,279,894,0.31208053691275167
02_usable_for_main_analysis,EUROPE,RENOVISOR,rv,usable_partial_limited_metadata,22,894,0.024608501118568233
02_usable_for_main_analysis,EUROPE,WHY_EUROPE,why,usable_complete,806,971,0.8300720906282183
02_usable_for_main_analysis,EUROPE,WHY_EUROPE,why,usable_partial,164,971,0.16889804325437693
02_usable_for_main_analysis,EUROPE,WHY_EUROPE,why,usable_partial_limited_metadata,1,971,0.0010298661174047373
02_usable_for_main_analysis,LATAM,WHY_LATAM,why,usable_complete,404,608,0.6644736842105263
02_usable_for_main_analysis,LATAM,WHY_LATAM,why,usable_complete_limited_metadata,75,608,0.12335526315789473
02_usable_for_main_analysis,LATAM,WHY_LATAM,why,usable_partial,65,608,0.1069078947368421
02_usable_for_main_analysis,LATAM,WHY_LATAM,why,usable_partial_limited_metadata,64,608,0.10526315789473684
03_usable_for_clustering,EUROPE,DIEGO,diego,usable_complete,1857,1899,0.9778830963665087
03_usable_for_clustering,EUROPE,DIEGO,diego,usable_complete_limited_metadata,42,1899,0.022116903633491312
03_usable_for_clustering,EUROPE,RENOVISOR,rv,usable_complete,546,894,0.610738255033557
03_usable_for_clustering,EUROPE,RENOVISOR,rv,usable_complete_limited_metadata,47,894,0.052572706935123045
03_usable_for_clustering,EUROPE,RENOVISOR,rv,usable_partial,279,894,0.31208053691275167
03_usable_for_clustering,EUROPE,RENOVISOR,rv,usable_partial_limited_metadata,22,894,0.024608501118568233
03_usable_for_clustering,EUROPE,WHY_EUROPE,why,usable_complete,806,971,0.8300720906282183
03_usable_for_clustering,EUROPE,WHY_EUROPE,why,usable_partial,164,971,0.16889804325437693
03_usable_for_clustering,EUROPE,WHY_EUROPE,why,usable_partial_limited_metadata,1,971,0.0010298661174047373
03_usable_for_clustering,LATAM,WHY_LATAM,why,usable_complete,404,608,0.6644736842105263
03_usable_for_clustering,LATAM,WHY_LATAM,why,usable_complete_limited_metadata,75,608,0.12335526315789473
03_usable_for_clustering,LATAM,WHY_LATAM,why,usable_partial,65,608,0.1069078947368421
03_usable_for_clustering,LATAM,WHY_LATAM,why,usable_partial_limited_metadata,64,608,0.10526315789473684
