self_profile,determinant_id,determinant_label,n,mean,median,sd
Activista,wellbeing,Bienestar,66,76.31818181818181,76,13.251599718709251
Activista,climate_protection,Protección climática,66,76.25757575757575,78,16.43758414409406
Activista,environmental_concerns,Preocupación ambiental,66,75.98484848484848,76,16.332593580127224
Activista,knowledge,Conocimiento,65,74.86153846153846,75,18.282400111751024
Activista,commitment,Compromiso,63,74.58730158730158,74,12.788143350113886
Activista,technical_fit,Adecuación técnica,63,72.88888888888889,76,19.619042026455883
Activista,adherence,Adherencia,63,72.57142857142857,74,14.425240296219908
Activista,trust,Confianza,60,72.3,77,19.792397102191728
Activista,rights_and_duties,Derechos y deberes,61,71.27868852459017,76,17.673078535389152
Activista,self_satisfaction,Satisfacción personal,65,71.27692307692308,74,18.034262263386747
Activista,safety,Seguridad,60,68.38333333333334,70,20.753673692901035
Activista,legal,Cumplimiento legal,61,67.60655737704919,72,24.9106929440114
Activista,cost_efficiency,Eficiencia de costes,62,67.08064516129032,70,19.190416312979455
Activista,coziness,Confort,64,66.53125,67,16.92370250120246
Activista,own_significance,Significado personal,64,64.921875,67,19.372951760654207
Activista,agreement,Acuerdo,61,63.57377049180327,69,23.356982550830093
Activista,added_value,Valor añadido,58,61.98275862068966,66.5,20.6231783921234
Activista,own_competence,Competencia propia,59,61.33898305084746,65,22.507171400805234
Activista,autarky,Autosuficiencia,64,60.828125,64.5,21.607284697160054
Activista,credit_score_access_to_funding,Acceso a financiación,61,59.9672131147541,66,24.953935703688614
Activista,risk_profile,Perfil de riesgo,62,58.596774193548384,60.5,21.883042073879764
Activista,support,Apoyo social,58,56.758620689655174,60,17.30055302313285
Activista,frugality,Frugalidad,61,55.852459016393446,59,18.301034638851956
Activista,profits,Beneficio económico,59,49.13559322033898,45,25.728997211062264
Activista,novelty,Novedad,55,48.74545454545454,58,25.87521206341311
Activista,peer_pressure,Presión social,65,35.938461538461546,34,25.551954990688163
Activista,trends,Tendencias,60,32.61666666666667,30,25.33175916905239
Activista,fun,Diversión,61,30.491803278688526,26,24.72490171926518
Activista,authority,Autoridad,57,30.43859649122807,28,23.702032420282656
Activista,socialising,Socialización,60,29.73333333333333,26.5,25.03141528983987
Activista,approval,Aprobación,61,25.770491803278688,20,25.58540823895719
Activista,recognition,Reconocimiento,65,21.876923076923077,20,20.516386508949758
