"mode","scenario","type","K","D","cluster","n_active_dims","active_dims","n_patterns","pct_total_patterns","pct_rest_patterns","assigned_pct","unassigned_pct"
"9_top3data","10-9-top3","ext",1,0,1,0,"",1,0.99009900990099,100,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,2,1,0,"",34,33.6633663366337,100,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,4,1,0,"",101,100,100,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,6,1,0,"",101,100,100,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,8,1,0,"",101,100,100,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,10,1,0,"",101,100,100,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",2,0,1,0,"",1,0.99009900990099,100,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,0,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",1,0.99009900990099,99.009900990099,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,2,1,0,"",34,33.6633663366337,100,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,2,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",19,18.8118811881188,66.3366336633663,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,4,1,0,"",101,100,100,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,6,1,0,"",101,100,100,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,8,1,0,"",101,100,100,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,10,1,0,"",101,100,100,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",3,0,1,0,"",1,0.99009900990099,100,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,0,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",1,0.99009900990099,99.009900990099,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,0,3,2,"STIMULATION | POPULARITY",1,0.99009900990099,98.019801980198,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,2,1,0,"",34,33.6633663366337,100,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,2,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",19,18.8118811881188,66.3366336633663,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,2,3,3,"STIMULATION | POPULARITY | MEANING",18,17.8217821782178,47.5247524752475,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,4,1,0,"",101,100,100,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,6,1,0,"",101,100,100,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,8,1,0,"",101,100,100,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,10,1,0,"",101,100,100,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",4,0,1,0,"",1,0.99009900990099,100,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,0,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",1,0.99009900990099,99.009900990099,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,0,3,2,"STIMULATION | POPULARITY",1,0.99009900990099,98.019801980198,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,0,4,1,"POPULARITY",1,0.99009900990099,97.029702970297,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,2,1,0,"",34,33.6633663366337,100,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,2,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",19,18.8118811881188,66.3366336633663,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,2,3,3,"STIMULATION | POPULARITY | MEANING",18,17.8217821782178,47.5247524752475,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,2,4,3,"SECURITY | COMPETENCE | POPULARITY",8,7.92079207920792,29.7029702970297,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,4,1,0,"",101,100,100,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,6,1,0,"",101,100,100,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,8,1,0,"",101,100,100,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,10,1,0,"",101,100,100,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",5,0,1,0,"",1,0.99009900990099,100,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,0,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",1,0.99009900990099,99.009900990099,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,0,3,2,"STIMULATION | POPULARITY",1,0.99009900990099,98.019801980198,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,0,4,1,"POPULARITY",1,0.99009900990099,97.029702970297,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,0,5,1,"COMPETENCE",1,0.99009900990099,96.039603960396,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,2,1,0,"",34,33.6633663366337,100,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,2,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",19,18.8118811881188,66.3366336633663,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,2,3,3,"STIMULATION | POPULARITY | MEANING",18,17.8217821782178,47.5247524752475,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,2,4,3,"SECURITY | COMPETENCE | POPULARITY",8,7.92079207920792,29.7029702970297,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,2,5,3,"FINANCIAL | AUTONOMY | STIMULATION",10,9.9009900990099,21.7821782178218,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,4,1,0,"",101,100,100,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,6,1,0,"",101,100,100,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,8,1,0,"",101,100,100,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,10,1,0,"",101,100,100,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",6,0,1,0,"",1,0.99009900990099,100,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,0,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",1,0.99009900990099,99.009900990099,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,0,3,2,"STIMULATION | POPULARITY",1,0.99009900990099,98.019801980198,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,0,4,1,"POPULARITY",1,0.99009900990099,97.029702970297,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,0,5,1,"COMPETENCE",1,0.99009900990099,96.039603960396,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,0,6,3,"AUTONOMY | PHYSICALNESS | POPULARITY",1,0.99009900990099,95.049504950495,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,2,1,0,"",34,33.6633663366337,100,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,2,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",19,18.8118811881188,66.3366336633663,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,2,3,3,"STIMULATION | POPULARITY | MEANING",18,17.8217821782178,47.5247524752475,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,2,4,3,"SECURITY | COMPETENCE | POPULARITY",8,7.92079207920792,29.7029702970297,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,2,5,3,"FINANCIAL | AUTONOMY | STIMULATION",10,9.9009900990099,21.7821782178218,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,2,6,3,"PHYSICALNESS | RELATEDNESS | POPULARITY",5,4.95049504950495,11.8811881188119,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,4,1,0,"",101,100,100,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,6,1,0,"",101,100,100,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,8,1,0,"",101,100,100,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,10,1,0,"",101,100,100,78.3299,21.6701
"9_top3data","10-9-top3","ext",7,0,1,0,"",1,0.99009900990099,100,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,0,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",1,0.99009900990099,99.009900990099,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,0,3,2,"STIMULATION | POPULARITY",1,0.99009900990099,98.019801980198,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,0,4,1,"POPULARITY",1,0.99009900990099,97.029702970297,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,0,5,1,"COMPETENCE",1,0.99009900990099,96.039603960396,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,0,6,3,"AUTONOMY | PHYSICALNESS | POPULARITY",1,0.99009900990099,95.049504950495,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,0,7,3,"SECURITY | COMPETENCE | AUTONOMY",1,0.99009900990099,94.0594059405941,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,2,1,0,"",34,33.6633663366337,100,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,2,2,3,"COMPETENCE | AUTONOMY | PHYSICALNESS",19,18.8118811881188,66.3366336633663,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,2,3,3,"STIMULATION | POPULARITY | MEANING",18,17.8217821782178,47.5247524752475,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,2,4,3,"SECURITY | COMPETENCE | POPULARITY",8,7.92079207920792,29.7029702970297,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,2,5,3,"FINANCIAL | AUTONOMY | STIMULATION",10,9.9009900990099,21.7821782178218,81.249525,18.750475
