analysis_sample,method,matrix,matrix_name,d_hamming,coverage_P1,coverage_P2,coverage_P3,coverage_P4,coverage_P5,coverage_P6,coverage_P7,coverage_P8,P_for_80,P_for_85,P_for_90,P_for_95,max_coverage_P12,max_prototype_available
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,0,0.6420238095237906,1.2416071428571065,1.6468749999999517,2.0481845238094634,2.4183928571427855,2.7785714285713463,3.128452380952288,3.4557738095237074,NA,NA,NA,NA,4.732827380952242,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,1,1.785357142857091,4.2136904761903535,5.366785714285558,7.2293749999997905,8.620505952380702,9.98919642857114,11.064642857142536,12.4912797619044,NA,NA,NA,NA,16.284613095237624,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,2,4.417589285714152,8.70261904761879,12.246249999999636,16.05267857142809,18.91556547618991,22.899761904761224,25.98083333333256,29.1869047619039,NA,NA,NA,NA,37.13544642857033,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,3,7.0765178571426635,15.1451488095234,21.68770833333274,29.482142857142065,37.16187499999901,43.159166666665485,47.16485119047489,51.468928571427135,NA,NA,NA,NA,58.98119047618882,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,4,11.03702380952353,23.104523809523247,34.758749999999154,45.80663690476081,56.824553571427224,64.54491071428417,69.81636904761734,72.09550595237917,12,NA,NA,NA,81.34708333333127,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,5,15.815297619047072,32.89961309523695,49.95514880952217,62.25889880952192,74.16636904761691,81.25934523809293,85.04398809523568,87.09336309523563,6,7,11,NA,92.05627976190216,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,6,24.74470238095156,45.600178571426994,68.1471428571406,77.23610119047375,82.46294642856881,90.69184523809244,91.92360119047336,92.6948214285686,5,6,6,9,98.26693452380653,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,7,35.992172619046606,57.56922619047434,82.40601190475927,86.40255952380677,90.07133928571143,97.64330357142552,98.17279761904452,98.72919642856834,3,4,5,6,99.40735119047308,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,8,50.690119047617664,69.45824404761684,91.75803571428276,94.11985119047316,98.79437499999682,99.36502976190154,99.51458333333012,99.67098214285392,3,3,3,5,99.92812499999678,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,9,65.59877976190462,83.1580952380945,97.9919047619036,99.08904761904644,99.74955357142736,99.7593749999988,99.92098214285592,99.9437499999988,2,3,3,3,99.9999999999988,12
COMPLETE,KMEANS,RAW,matrix_32_raw_0_1,10,78.59410714285673,90.49657738095172,96.88738095238004,99.82038690476092,99.896874999999,99.959374999999,99.965624999999,99.984374999999,2,2,2,3,99.999999999999,10
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,0,1.0745535714285452,1.956249999999952,2.837023809523739,3.6084226190475297,4.2485714285713225,4.878095238095115,5.453839285714149,6.027321428571278,NA,NA,NA,NA,8.275565476190268,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,1,2.6094940476189827,5.86089285714271,9.617291666666423,11.531130952380664,14.516666666666302,16.333988095237682,17.732678571428124,20.543660714285195,NA,NA,NA,NA,28.820684523808794,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,2,5.688928571428427,12.895386904761589,21.629672619047096,25.392202380951765,29.10544642857072,34.83038690476104,40.158244047618055,46.65282738095122,NA,NA,NA,NA,58.83458333333186,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,3,9.404285714285503,23.646428571428014,39.91473214285617,49.95788690476069,61.306011904760425,63.985595238093694,69.28413690476022,71.96589285714111,11,NA,NA,NA,81.45782738095038,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,4,16.34669642857098,38.305505952379946,59.846309523807925,70.82232142856958,78.7174107142837,84.89937499999782,87.93883928571202,89.20782738095009,6,7,9,NA,91.60687499999764,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,5,25.9389583333326,56.49773809523663,78.57074404761697,85.66124999999776,89.8879166666643,91.85797619047378,93.37306547618805,93.74071428571185,4,4,6,10,97.44327380952129,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,6,40.78672619047532,75.9141369047602,87.70285714285521,93.53127976190264,95.4937797619026,96.20660714285496,96.84833333333114,98.63071428571205,3,3,4,5,99.38008928571202,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,7,55.579851190474955,90.42735119047416,94.74023809523592,97.49624999999776,97.71488095237872,99.41202380952151,99.50937499999772,99.62479166666438,2,2,2,4,99.9139880952358,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,8,65.9021726190467,95.78011904761752,98.46755952380792,99.77529761904596,99.8691964285698,99.92395833333168,99.9383928571412,99.9616071428555,2,2,2,2,99.99687499999835,12
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,9,75.26020833333254,97.57982142856991,99.87961309523656,99.95401785714132,99.97008928571276,99.9834821428556,99.99062499999846,99.99999999999844,2,2,2,2,99.99999999999844,8
COMPLETE,KMEANS,POS,matrix_32_pos_0_1,10,83.43934523809457,98.4501488095226,99.9808035714273,99.99374999999873,99.99999999999874,99.99999999999874,99.99999999999874,99.99999999999874,1,2,2,2,99.99999999999874,5
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,0,1.0650595238095206,2.046755952380946,2.9493154761904665,3.588749999999988,4.201279761904747,4.75636904761903,5.295386904761885,5.735982142857122,NA,NA,NA,NA,7.361339285714257,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,1,4.521636904761888,5.97595238095236,7.911964285714256,8.507053571428537,9.757440476190435,10.25842261904758,11.152678571428527,12.417113095238047,NA,NA,NA,NA,15.627142857142797,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,2,10.333809523809489,14.473839285714233,18.843779761904692,22.304999999999907,24.443630952380857,26.35455357142846,28.140803571428453,29.08999999999988,NA,NA,NA,NA,35.32276785714271,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,3,14.988749999999904,18.73830357142845,26.831279761904636,31.0419047619046,34.0222916666665,38.35050595238076,39.15044642857123,42.57892857142834,NA,NA,NA,NA,50.543541666666414,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,4,20.20943452380932,23.75586309523788,37.2536011904759,45.12818452380924,49.12190476190443,56.26794642857112,61.54827380952345,63.88708333333297,NA,NA,NA,NA,71.44276785714247,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,5,25.055386904761622,43.76202380952333,56.07770833333293,60.36666666666621,67.56764880952336,73.7642857142852,76.29735119047565,78.42038690476136,11,NA,NA,NA,84.15779761904706,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,6,28.649226190476295,53.41860119047606,61.83499999999994,75.46705357142864,80.516875,86.53925595238083,87.29604166666655,87.84014880952368,5,6,10,NA,92.39642857142844,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,7,32.80988095238143,63.75946428571549,80.89005952381015,87.28169642857196,89.03708333333385,89.84139880952432,92.1877380952386,93.39702380952431,3,4,7,12,95.6253869047624,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,8,38.0027976190482,72.5603869047634,89.0441369047631,92.04773809523928,92.27613095238212,93.5212202380964,93.6455357142869,95.52047619047735,3,3,4,8,96.97595238095352,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,9,43.37726190476264,81.89961309523994,92.30633928571636,94.2320238095259,94.27125000000208,95.54535714285922,95.59782738095446,97.2677083333354,2,3,3,6,99.08625000000208,12
COMPLETE,KMEANS,EXT,matrix_32_ext_0_1,10,48.9376190476199,89.14386904762107,91.77985119047818,95.09181547619244,96.6336309523829,99.0320833333353,99.45508928571624,99.54375000000196,2,2,3,4,99.81562500000192,12
COMPLETE,KMEANS,Z_ABS,matrix_32_z_abs,0,0.5994642857142698,1.1453273809523503,1.485416666666627,1.7155654761904306,1.914166666666616,2.1108928571428014,2.2894345238094633,2.4584821428570782,NA,NA,NA,NA,3.046517857142778,12
COMPLETE,KMEANS,Z_ABS,matrix_32_z_abs,1,1.7921428571428102,2.444047619047555,3.356041666666579,3.905416666666565,4.3353869047617914,4.645416666666545,5.218273809523674,5.710267857142708,NA,NA,NA,NA,7.415744047618853,12
COMPLETE,KMEANS,Z_ABS,matrix_32_z_abs,2,4.787232142857008,6.836874999999813,9.21994047619023,10.887529761904474,12.054910714285397,13.14991071428537,14.391279761904386,15.000565476190086,NA,NA,NA,NA,17.939851190475725,12
COMPLETE,KMEANS,Z_ABS,matrix_32_z_abs,3,8.044017857142686,11.95401785714257,16.322678571428145,19.99892857142804,20.972410714285157,22.393333333332745,24.06764880952318,25.25482142857077,NA,NA,NA,NA,28.37729166666593,12
COMPLETE,KMEANS,Z_ABS,matrix_32_z_abs,4,12.186458333333128,19.136904761904404,23.902232142856633,26.834226190475608,30.53226190476124,33.129761904761175,34.74214285714209,37.6830952380944,NA,NA,NA,NA,42.65059523809429,12
