left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
KM1,EFA1,9,8,5,55.55555555555556,62.5,41.666666666666664,det_09_safety; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing
KM1,EFA2,9,8,0,0,0,0,
KM1,EFA3,9,8,4,44.44444444444444,50,30.76923076923077,det_07_legal; det_08_trust; det_09_safety; det_13_technical_fit
KM1,EFA4,9,8,1,11.11111111111111,12.5,6.25,det_08_trust
KM1,EFA5,9,8,4,44.44444444444444,50,30.76923076923077,det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM1,EFA6,9,8,4,44.44444444444444,50,30.76923076923077,det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence
KM2,EFA1,8,8,3,37.5,37.5,23.076923076923077,det_13_technical_fit; det_17_adherence; det_19_wellbeing
KM2,EFA2,8,8,0,0,0,0,
KM2,EFA3,8,8,2,25,25,14.285714285714286,det_08_trust; det_13_technical_fit
KM2,EFA4,8,8,3,37.5,37.5,23.076923076923077,det_06_climate_protection; det_08_trust; det_14_environmental_concerns
KM2,EFA5,8,8,2,25,25,14.285714285714286,det_11_knowledge; det_17_adherence
KM2,EFA6,8,8,4,50,50,33.333333333333336,det_11_knowledge; det_13_technical_fit; det_16_commitment; det_17_adherence
KM3,EFA1,15,8,6,40,75,35.294117647058826,det_09_safety; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing
KM3,EFA2,15,8,0,0,0,0,
KM3,EFA3,15,8,5,33.333333333333336,62.5,27.77777777777778,det_07_legal; det_08_trust; det_09_safety; det_13_technical_fit; det_21_rights_and_duties
KM3,EFA4,15,8,6,40,75,35.294117647058826,det_04_added_value; det_06_climate_protection; det_08_trust; det_14_environmental_concerns; det_21_rights_and_duties; det_32_own_significance
KM3,EFA5,15,8,3,20,37.5,15,det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM3,EFA6,15,8,7,46.666666666666664,87.5,43.75,det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_32_own_significance
KM4,EFA1,8,8,3,37.5,37.5,23.076923076923077,det_13_technical_fit; det_15_self_satisfaction; det_19_wellbeing
KM4,EFA2,8,8,0,0,0,0,
KM4,EFA3,8,8,2,25,25,14.285714285714286,det_03_risk_profile; det_13_technical_fit
KM4,EFA4,8,8,0,0,0,0,
KM4,EFA5,8,8,6,75,75,60,det_01_profits; det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction
KM4,EFA6,8,8,3,37.5,37.5,23.076923076923077,det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM5,EFA1,15,8,7,46.666666666666664,87.5,43.75,det_09_safety; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
KM5,EFA2,15,8,0,0,0,0,
KM5,EFA3,15,8,4,26.666666666666668,50,21.05263157894737,det_03_risk_profile; det_08_trust; det_09_safety; det_13_technical_fit
KM5,EFA4,15,8,1,6.666666666666667,12.5,4.545454545454546,det_08_trust
KM5,EFA5,15,8,8,53.333333333333336,100,53.333333333333336,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction; det_17_adherence
KM5,EFA6,15,8,6,40,75,35.294117647058826,det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_18_autonomy
KM6,EFA1,12,8,4,33.333333333333336,50,25,det_13_technical_fit; det_15_self_satisfaction; det_18_autonomy; det_20_coziness
KM6,EFA2,12,8,0,0,0,0,
KM6,EFA3,12,8,3,25,37.5,17.647058823529413,det_07_legal; det_08_trust; det_13_technical_fit
KM6,EFA4,12,8,1,8.333333333333334,12.5,5.2631578947368425,det_08_trust
KM6,EFA5,12,8,5,41.666666666666664,62.5,33.333333333333336,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction
KM6,EFA6,12,8,6,50,75,42.857142857142854,det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_18_autonomy
