"pattern_id","cluster"
1,1
2,1
4,1
5,1
6,1
7,1
8,1
11,1
12,1
13,1
14,1
15,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
30,1
31,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
45,1
46,1
48,1
50,1
51,1
52,1
54,1
56,1
57,1
58,1
59,1
60,1
62,1
64,1
66,1
67,1
69,1
70,1
71,1
72,1
74,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
99,1
100,1
101,1
102,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
114,1
115,1
116,1
117,1
119,1
121,1
124,1
125,1
126,1
127,1
129,1
130,1
132,1
133,1
134,1
135,1
137,1
138,1
139,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
151,1
153,1
156,1
157,1
158,1
159,1
162,1
163,1
165,1
166,1
167,1
169,1
170,1
171,1
172,1
174,1
176,1
177,1
178,1
180,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
193,1
194,1
196,1
197,1
198,1
199,1
202,1
203,1
204,1
205,1
206,1
208,1
209,1
210,1
212,1
213,1
214,1
216,1
217,1
220,1
221,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
236,1
238,1
240,1
241,1
243,1
244,1
245,1
246,1
247,1
248,1
251,1
252,1
253,1
255,1
256,1
257,1
258,1
259,1
260,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
279,1
281,1
282,1
283,1
284,1
285,1
286,1
288,1
289,1
290,1
292,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
304,1
305,1
306,1
307,1
308,1
309,1
311,1
312,1
314,1
317,1
318,1
319,1
321,1
323,1
324,1
325,1
327,1
328,1
330,1
331,1
332,1
335,1
336,1
337,1
338,1
339,1
340,1
342,1
345,1
346,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
364,1
365,1
367,1
368,1
370,1
371,1
372,1
373,1
376,1
377,1
378,1
380,1
381,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
394,1
395,1
396,1
398,1
399,1
402,1
403,1
406,1
407,1
408,1
409,1
411,1
412,1
413,1
414,1
415,1
416,1
420,1
421,1
422,1
423,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
439,1
440,1
441,1
443,1
446,1
447,1
449,1
452,1
453,1
455,1
457,1
458,1
459,1
460,1
461,1
463,1
466,1
470,1
471,1
472,1
474,1
475,1
476,1
477,1
479,1
480,1
482,1
483,1
485,1
487,1
488,1
489,1
490,1
492,1
493,1
494,1
495,1
497,1
498,1
499,1
502,1
503,1
505,1
509,1
511,1
513,1
518,1
519,1
520,1
522,1
523,1
524,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
541,1
542,1
543,1
546,1
547,1
550,1
551,1
553,1
554,1
555,1
557,1
558,1
559,1
560,1
563,1
565,1
566,1
567,1
568,1
570,1
575,1
577,1
578,1
580,1
581,1
582,1
583,1
584,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
595,1
597,1
598,1
600,1
601,1
603,1
605,1
607,1
608,1
610,1
611,1
612,1
615,1
616,1
620,1
623,1
625,1
626,1
627,1
628,1
630,1
632,1
633,1
634,1
635,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
646,1
647,1
648,1
649,1
652,1
654,1
655,1
657,1
658,1
659,1
662,1
664,1
665,1
667,1
668,1
669,1
670,1
671,1
672,1
674,1
675,1
676,1
678,1
681,1
684,1
686,1
687,1
688,1
689,1
690,1
691,1
694,1
696,1
697,1
699,1
702,1
703,1
704,1
706,1
707,1
709,1
710,1
711,1
714,1
715,1
716,1
717,1
719,1
721,1
723,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
746,1
748,1
749,1
751,1
752,1
754,1
755,1
756,1
757,1
758,1
759,1
761,1
763,1
765,1
767,1
769,1
771,1
772,1
773,1
775,1
776,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
789,1
790,1
791,1
792,1
793,1
794,1
796,1
799,1
802,1
803,1
804,1
807,1
808,1
810,1
812,1
815,1
819,1
820,1
823,1
824,1
826,1
832,1
835,1
836,1
837,1
839,1
841,1
842,1
843,1
844,1
845,1
846,1
848,1
850,1
851,1
