kmeans_prototype,kmeans_signature_size,kmeans_determinants,kmeans_incremental_covered_pct,kmeans_cumulative_covered_pct,efa_match,common_km_efa,similarity_km_efa_pct,efa_determinants_found_in_km_pct,jaccard_km_efa_pct,common_determinants_km_efa,efa_signature_size,efa_determinants,efa_incremental_covered_pct,efa_cumulative_covered_pct,expert_match,expert_n_active,common_km_expert,km_determinants_found_in_expert_pct,expert_determinants_found_in_km_pct,jaccard_km_expert_pct,common_determinants_km_expert,expert_determinants
KM1,8,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_28_recognition; det_31_approval,24.74470238095156,24.74470238095156,EFA5,3,37.5,33.333333333333336,21.428571428571427,det_07_legal; det_11_knowledge; det_17_adherence,9,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence; det_21_rights_and_duties; det_25_agreement,8.9610416666665,52.15273809523636,Homo.Economicus,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM2,9,det_10_cost_efficiency; det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,20.855476190475432,45.600178571426994,EFA1,7,77.77777777777777,87.5,70,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,8,det_22_peer_pressure; det_24_socialising; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,15.498363095237446,15.498363095237446,Influencer,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
KM3,15,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_21_rights_and_duties,22.546964285713596,68.1471428571406,EFA3,5,33.333333333333336,62.5,27.77777777777778,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness,8,det_09_safety; det_15_self_satisfaction; det_18_autonomy; det_19_wellbeing; det_20_coziness; det_25_agreement; det_27_fun; det_32_own_significance,11.53270833333309,41.84273809523658,Homo.Economicus,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM4,9,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing,9.088958333333167,77.23610119047375,EFA4,9,100,60,60,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing,15,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness,1.3489583333332826,43.19169642856986,Careful,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing,det_02_credit_score; det_03_risk_profile; det_06_climate_protection; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_19_wellbeing
KM5,12,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_23_support; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,5.226845238095057,82.46294642856881,EFA2,4,33.333333333333336,50,25,det_01_profits; det_02_credit_score; det_10_cost_efficiency; det_13_technical_fit,8,det_01_profits; det_02_credit_score; det_03_risk_profile; det_05_frugality; det_10_cost_efficiency; det_12_own_competence; det_13_technical_fit; det_18_autonomy,14.811666666666046,30.31002976190349,Homo.Economicus,9,5,41.666666666666664,55.55555555555556,31.25,det_01_profits; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction,det_01_profits; det_04_added_value; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
KM6,13,det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval,8.22889880952364,90.69184523809244,EFA6,4,30.76923076923077,33.333333333333336,19.047619047619047,det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence,12,det_01_profits; det_04_added_value; det_06_climate_protection; det_07_legal; det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence; det_21_rights_and_duties; det_23_support; det_25_agreement; det_32_own_significance,8.13898809523778,60.29172619047414,Activist,6,6,46.15384615384615,100,46.15384615384615,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence,det_08_trust; det_13_technical_fit; det_14_environmental_concerns; det_15_self_satisfaction; det_16_commitment; det_17_adherence
