bootstrap_id,consensus_factor,reference_factor,original_factor,alignment_similarity_pct
1,1,MR1,MR6,87.5
1,2,MR2,MR3,75
1,3,MR3,MR2,87.5
1,4,MR4,MR4,62.5
1,5,MR5,MR5,75
1,6,MR6,MR1,100
2,1,MR1,MR2,87.5
2,2,MR2,MR3,62.5
2,3,MR3,MR4,62.5
2,4,MR4,MR6,87.5
2,5,MR5,MR5,87.5
2,6,MR6,MR1,100
3,1,MR1,MR3,87.5
3,2,MR2,MR2,75
3,3,MR3,MR1,62.5
3,4,MR4,MR6,75
3,5,MR5,MR4,87.5
3,6,MR6,MR5,100
4,1,MR1,MR1,75
4,2,MR2,MR6,75
4,3,MR3,MR4,75
4,4,MR4,MR2,87.5
4,5,MR5,MR3,75
4,6,MR6,MR5,100
5,1,MR1,MR3,75
5,2,MR2,MR4,50
5,3,MR3,MR6,75
5,4,MR4,MR2,87.5
5,5,MR5,MR5,75
5,6,MR6,MR1,100
6,1,MR1,MR3,87.5
6,2,MR2,MR1,75
6,3,MR3,MR4,62.5
6,4,MR4,MR2,87.5
6,5,MR5,MR5,62.5
6,6,MR6,MR6,100
7,1,MR1,MR1,87.5
7,2,MR2,MR5,62.5
7,3,MR3,MR2,75
7,4,MR4,MR6,75
7,5,MR5,MR4,62.5
7,6,MR6,MR3,100
8,1,MR1,MR3,75
8,2,MR2,MR6,62.5
8,3,MR3,MR1,87.5
8,4,MR4,MR2,75
8,5,MR5,MR4,75
8,6,MR6,MR5,100
9,1,MR1,MR1,75
9,2,MR2,MR6,62.5
9,3,MR3,MR4,62.5
9,4,MR4,MR3,75
9,5,MR5,MR5,75
9,6,MR6,MR2,100
10,1,MR1,MR4,62.5
10,2,MR2,MR1,75
10,3,MR3,MR5,75
10,4,MR4,MR6,75
10,5,MR5,MR3,50
10,6,MR6,MR2,100
11,1,MR1,MR4,75
11,2,MR2,MR1,75
11,3,MR3,MR6,62.5
11,4,MR4,MR2,87.5
11,5,MR5,MR3,87.5
11,6,MR6,MR5,100
12,1,MR1,MR4,87.5
12,2,MR2,MR6,87.5
12,3,MR3,MR1,75
12,4,MR4,MR5,75
12,5,MR5,MR2,75
12,6,MR6,MR3,100
13,1,MR1,MR4,87.5
13,2,MR2,MR2,62.5
13,3,MR3,MR6,75
13,4,MR4,MR3,87.5
13,5,MR5,MR1,75
13,6,MR6,MR5,100
14,1,MR1,MR3,87.5
14,2,MR2,MR4,75
14,3,MR3,MR2,62.5
14,4,MR4,MR1,75
14,5,MR5,MR6,87.5
14,6,MR6,MR5,100
15,1,MR1,MR6,87.5
15,2,MR2,MR5,87.5
15,3,MR3,MR4,87.5
