"pattern_id","cluster"
5,1
7,1
8,1
9,1
16,1
18,1
25,1
27,1
31,1
32,1
39,1
40,1
43,1
48,1
52,1
55,1
57,1
65,1
68,1
70,1
79,1
82,1
83,1
88,1
89,1
97,1
98,1
104,1
105,1
106,1
108,1
109,1
114,1
115,1
127,1
130,1
133,1
134,1
146,1
147,1
161,1
167,1
169,1
172,1
175,1
178,1
183,1
184,1
191,1
193,1
194,1
197,1
201,1
205,1
208,1
211,1
213,1
215,1
219,1
221,1
227,1
241,1
243,1
262,1
263,1
264,1
271,1
272,1
277,1
282,1
283,1
290,1
292,1
296,1
298,1
299,1
302,1
303,1
304,1
314,1
316,1
320,1
329,1
337,1
339,1
350,1
351,1
352,1
353,1
356,1
359,1
365,1
373,1
380,1
392,1
395,1
405,1
408,1
409,1
422,1
434,1
444,1
448,1
457,1
460,1
461,1
470,1
481,1
487,1
488,1
501,1
511,1
513,1
522,1
524,1
528,1
530,1
533,1
537,1
539,1
543,1
552,1
553,1
559,1
560,1
561,1
577,1
581,1
584,1
592,1
593,1
598,1
603,1
612,1
621,1
625,1
632,1
637,1
639,1
649,1
655,1
665,1
672,1
684,1
692,1
696,1
699,1
701,1
704,1
706,1
707,1
716,1
718,1
720,1
725,1
726,1
727,1
734,1
744,1
756,1
760,1
775,1
776,1
786,1
803,1
823,1
833,1
847,1
855,1
857,1
867,1
883,1
884,1
886,1
889,1
891,1
893,1
902,1
914,1
915,1
919,1
924,1
931,1
942,1
945,1
949,1
980,1
984,1
998,1
1006,1
1007,1
1023,1
1046,1
1055,1
1056,1
1058,1
1060,1
1063,1
1069,1
1072,1
1073,1
1092,1
1110,1
1119,1
1128,1
1134,1
1146,1
1150,1
1164,1
1166,1
1168,1
1189,1
1192,1
1195,1
1201,1
1218,1
1259,1
1266,1
1275,1
1295,1
1300,1
1304,1
1308,1
1314,1
1316,1
1318,1
1326,1
1328,1
1341,1
1355,1
1376,1
1381,1
1409,1
1417,1
1422,1
1443,1
1451,1
1456,1
1457,1
1464,1
1471,1
1480,1
1483,1
1497,1
1503,1
1509,1
1516,1
1519,1
1525,1
1534,1
1540,1
1549,1
1552,1
1557,1
1569,1
1571,1
1577,1
1583,1
1618,1
1634,1
1640,1
1650,1
1652,1
1655,1
1658,1
1670,1
1678,1
1703,1
1706,1
1707,1
1709,1
1720,1
1730,1
1740,1
1744,1
1746,1
1760,1
1779,1
1782,1
1813,1
1817,1
1833,1
1848,1
1850,1
1856,1
1868,1
1869,1
1894,1
1915,1
1917,1
1924,1
1928,1
1957,1
1973,1
1975,1
1976,1
2010,1
2011,1
2023,1
