matrix_name,bootstrap_id,status,n_bootstrap_draws,n_rows_used,n_rows_dropped,n_variable_features,n_constant_features,n_factors_parallel,warning_flag,warning_message,error_message
matrix_32_raw_0_1,69,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,70,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,71,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,72,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,73,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,74,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,75,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,76,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,77,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_raw_0_1,78,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,79,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,80,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,81,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,82,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,83,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,84,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,85,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,86,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,87,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,88,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,89,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,90,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,91,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,92,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,93,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,94,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,95,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,96,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_raw_0_1,97,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_raw_0_1,98,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,99,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_raw_0_1,100,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,1,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,2,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,3,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,4,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,5,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,6,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,7,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,8,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,9,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,10,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,11,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,12,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,13,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,14,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,15,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,16,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,17,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,18,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,19,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,20,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,21,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,22,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,23,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,24,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,25,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_pos_0_1,26,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,27,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,28,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,29,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,30,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,31,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,32,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,33,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,34,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,35,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,36,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,37,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,38,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,39,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,40,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,41,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,42,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,43,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,44,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,45,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,46,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,47,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,48,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,49,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,50,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,51,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_pos_0_1,52,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,53,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,54,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,55,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,56,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_pos_0_1,57,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,58,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,59,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,60,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,61,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,62,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,63,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,64,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,65,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,66,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,67,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,68,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,69,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,70,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,71,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,72,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,73,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,74,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,75,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,76,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,77,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,78,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,79,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_pos_0_1,80,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,81,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,82,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,83,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,84,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,85,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,86,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,87,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,88,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,89,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,90,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,91,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,92,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,93,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,94,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,95,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_pos_0_1,96,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_pos_0_1,97,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,98,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_pos_0_1,99,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_pos_0_1,100,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,1,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,2,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,3,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,4,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,5,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,6,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,7,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,8,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,9,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,10,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,11,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,12,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,13,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,14,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,15,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,16,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,17,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,18,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,19,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,20,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,21,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,22,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,23,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,24,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,25,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,26,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,27,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,28,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,29,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,30,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,31,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,32,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,33,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,34,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,35,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,36,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,37,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,38,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,39,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,40,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,41,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,42,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,43,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,44,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,45,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,46,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,47,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,48,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,49,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,50,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,51,ok,1000,1000,0,32,0,10,FALSE,NA,NA
matrix_32_ext_0_1,52,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,53,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,54,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,55,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,56,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,57,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,58,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,59,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,60,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,61,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,62,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,63,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,64,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,65,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,66,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,67,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,68,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,69,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,70,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,71,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,72,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,73,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,74,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,75,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,76,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,77,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,78,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,79,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,80,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,81,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,82,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,83,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,84,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,85,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,86,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,87,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,88,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,89,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,90,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_ext_0_1,91,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,92,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_ext_0_1,93,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,94,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,95,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,96,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,97,ok,1000,1000,0,32,0,5,FALSE,NA,NA
matrix_32_ext_0_1,98,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_ext_0_1,99,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_ext_0_1,100,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_z_abs,1,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,2,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,3,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,4,ok,1000,1000,0,32,0,10,FALSE,NA,NA
matrix_32_z_abs,5,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_z_abs,6,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,7,ok,1000,1000,0,32,0,11,FALSE,NA,NA
matrix_32_z_abs,8,ok,1000,1000,0,32,0,6,FALSE,NA,NA
matrix_32_z_abs,9,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,10,ok,1000,1000,0,32,0,10,FALSE,NA,NA
matrix_32_z_abs,11,ok,1000,1000,0,32,0,10,FALSE,NA,NA
matrix_32_z_abs,12,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_z_abs,13,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_z_abs,14,ok,1000,1000,0,32,0,7,FALSE,NA,NA
matrix_32_z_abs,15,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,16,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_z_abs,17,ok,1000,1000,0,32,0,9,FALSE,NA,NA
matrix_32_z_abs,18,ok,1000,1000,0,32,0,11,FALSE,NA,NA
matrix_32_z_abs,19,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,20,ok,1000,1000,0,32,0,10,FALSE,NA,NA
matrix_32_z_abs,21,ok,1000,1000,0,32,0,8,FALSE,NA,NA
matrix_32_z_abs,22,ok,1000,1000,0,32,0,8,FALSE,NA,NA
