section_order,row_order,row_type,characteristic,Total,Cuidadoso/a,Activista,Temeroso/a,Homo economicus,Sensible,Influyente,Desinteresado/a,Pionero
7,1,data,  No universitaria,93 (23.9%),16 (20.8%),14 (20.6%),14 (20.9%),18 (30.5%),15 (27.3%),12 (34.3%),2 (22.2%),0 (0.0%)
7,1,data,  Universitaria,296 (76.1%),61 (79.2%),54 (79.4%),53 (79.1%),41 (69.5%),40 (72.7%),23 (65.7%),7 (77.8%),1 (100.0%)
7,2,data,  No universitaria,93 (23.9%),16 (20.8%),14 (20.6%),14 (20.9%),18 (30.5%),15 (27.3%),12 (34.3%),2 (22.2%),0 (0.0%)
7,2,data,  Universitaria,296 (76.1%),61 (79.2%),54 (79.4%),53 (79.1%),41 (69.5%),40 (72.7%),23 (65.7%),7 (77.8%),1 (100.0%)
8,0,header,Situación laboral,,,,,,,,,
8,1,data,  Empleado/a,290 (74.6%),58 (75.3%),54 (78.3%),43 (64.2%),47 (79.7%),43 (78.2%),25 (71.4%),6 (75.0%),1 (100.0%)
8,1,data,  Estudiante,30 (7.7%),11 (14.3%),4 (5.8%),7 (10.4%),6 (10.2%),0 (0.0%),0 (0.0%),2 (25.0%),0 (0.0%)
8,1,data,  Otra situación laboral,69 (17.7%),8 (10.4%),11 (15.9%),17 (25.4%),6 (10.2%),12 (21.8%),10 (28.6%),0 (0.0%),0 (0.0%)
8,2,data,  Empleado/a,290 (74.6%),58 (75.3%),54 (78.3%),43 (64.2%),47 (79.7%),43 (78.2%),25 (71.4%),6 (75.0%),1 (100.0%)
8,2,data,  Estudiante,30 (7.7%),11 (14.3%),4 (5.8%),7 (10.4%),6 (10.2%),0 (0.0%),0 (0.0%),2 (25.0%),0 (0.0%)
8,2,data,  Otra situación laboral,69 (17.7%),8 (10.4%),11 (15.9%),17 (25.4%),6 (10.2%),12 (21.8%),10 (28.6%),0 (0.0%),0 (0.0%)
8,3,data,  Empleado/a,290 (74.6%),58 (75.3%),54 (78.3%),43 (64.2%),47 (79.7%),43 (78.2%),25 (71.4%),6 (75.0%),1 (100.0%)
8,3,data,  Estudiante,30 (7.7%),11 (14.3%),4 (5.8%),7 (10.4%),6 (10.2%),0 (0.0%),0 (0.0%),2 (25.0%),0 (0.0%)
8,3,data,  Otra situación laboral,69 (17.7%),8 (10.4%),11 (15.9%),17 (25.4%),6 (10.2%),12 (21.8%),10 (28.6%),0 (0.0%),0 (0.0%)
9,0,header,Trabajo/estudio desde casa,,,,,,,,,
9,1,data,  No,156 (41.3%),20 (26.7%),26 (38.8%),30 (45.5%),15 (26.3%),30 (55.6%),23 (67.6%),3 (33.3%),0 (0.0%)
9,1,data,  Sí,222 (58.7%),55 (73.3%),41 (61.2%),36 (54.5%),42 (73.7%),24 (44.4%),11 (32.4%),6 (66.7%),1 (100.0%)
9,2,data,  No,156 (41.3%),20 (26.7%),26 (38.8%),30 (45.5%),15 (26.3%),30 (55.6%),23 (67.6%),3 (33.3%),0 (0.0%)
9,2,data,  Sí,222 (58.7%),55 (73.3%),41 (61.2%),36 (54.5%),42 (73.7%),24 (44.4%),11 (32.4%),6 (66.7%),1 (100.0%)
10,0,header,Tipo de hogar,,,,,,,,,
10,1,data,  Hogar con hijos,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,1,data,  Otro tipo de hogar,4 (1.0%),1 (1.3%),0 (0.0%),0 (0.0%),1 (1.8%),2 (3.7%),0 (0.0%),0 (0.0%),0 (0.0%)
10,1,data,  Pareja sin hijos,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
10,1,data,  Vive solo/a,70 (18.4%),13 (17.3%),11 (16.4%),12 (17.9%),7 (12.5%),9 (16.7%),12 (34.3%),4 (44.4%),0 (0.0%)
10,1,data,  Vivienda compartida,9 (2.4%),5 (6.7%),1 (1.5%),1 (1.5%),1 (1.8%),0 (0.0%),1 (2.9%),0 (0.0%),0 (0.0%)
10,2,data,  Hogar con hijos,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,2,data,  Otro tipo de hogar,4 (1.0%),1 (1.3%),0 (0.0%),0 (0.0%),1 (1.8%),2 (3.7%),0 (0.0%),0 (0.0%),0 (0.0%)
10,2,data,  Pareja sin hijos,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
10,2,data,  Vive solo/a,70 (18.4%),13 (17.3%),11 (16.4%),12 (17.9%),7 (12.5%),9 (16.7%),12 (34.3%),4 (44.4%),0 (0.0%)
10,2,data,  Vivienda compartida,9 (2.4%),5 (6.7%),1 (1.5%),1 (1.5%),1 (1.8%),0 (0.0%),1 (2.9%),0 (0.0%),0 (0.0%)
10,3,data,  Hogar con hijos,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,3,data,  Otro tipo de hogar,4 (1.0%),1 (1.3%),0 (0.0%),0 (0.0%),1 (1.8%),2 (3.7%),0 (0.0%),0 (0.0%),0 (0.0%)
10,3,data,  Pareja sin hijos,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
10,3,data,  Vive solo/a,70 (18.4%),13 (17.3%),11 (16.4%),12 (17.9%),7 (12.5%),9 (16.7%),12 (34.3%),4 (44.4%),0 (0.0%)
10,3,data,  Vivienda compartida,9 (2.4%),5 (6.7%),1 (1.5%),1 (1.5%),1 (1.8%),0 (0.0%),1 (2.9%),0 (0.0%),0 (0.0%)
10,4,data,  Hogar con hijos,172 (45.1%),19 (25.3%),31 (46.3%),35 (52.2%),31 (55.4%),29 (53.7%),14 (40.0%),4 (44.4%),0 (0.0%)
10,4,data,  Otro tipo de hogar,4 (1.0%),1 (1.3%),0 (0.0%),0 (0.0%),1 (1.8%),2 (3.7%),0 (0.0%),0 (0.0%),0 (0.0%)
10,4,data,  Pareja sin hijos,126 (33.1%),37 (49.3%),24 (35.8%),19 (28.4%),16 (28.6%),14 (25.9%),8 (22.9%),1 (11.1%),1 (100.0%)
