"K","archetypes_used","mode","scenario","type","reference","archetype_order_full"
6,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn","9_top3data","100-9-top3","ext","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
7,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested","9_top3data","100-9-top3","ext","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
8,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8","9_top3data","100-9-top3","ext","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
1,"Homo.Economicus","9_top3data","100-9-top3","ext","sins","Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
2,"Homo.Economicus | Uninterested","9_top3data","100-9-top3","ext","sins","Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
3,"Homo.Economicus | Uninterested | Influencer","9_top3data","100-9-top3","ext","sins","Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
4,"Homo.Economicus | Uninterested | Influencer | Careful","9_top3data","100-9-top3","ext","sins","Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
5,"Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter","9_top3data","100-9-top3","ext","sins","Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
6,"Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful","9_top3data","100-9-top3","ext","sins","Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
7,"Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn","9_top3data","100-9-top3","ext","sins","Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
1,"Stubborn","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
2,"Stubborn | Activist","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
3,"Stubborn | Activist | Homo.Economicus","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
4,"Stubborn | Activist | Homo.Economicus | Early.Adopter","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
5,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
6,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
7,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
8,"Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful","9_top3data","100-9-top3","pos","experts","Stubborn | Activist | Homo.Economicus | Early.Adopter | Fearful | Uninterested | Influencer | Careful"
1,"Careful","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
2,"Careful | Early.Adopter","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
3,"Careful | Early.Adopter | Fearful","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
4,"Careful | Early.Adopter | Fearful | Homo.Economicus","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
5,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
6,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
7,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
8,"Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8","9_top3data","100-9-top3","pos","kmeans","Careful | Early.Adopter | Fearful | Homo.Economicus | Influencer | Stubborn | Uninterested | X8"
1,"Uninterested","9_top3data","100-9-top3","pos","sins","Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
2,"Uninterested | Homo.Economicus","9_top3data","100-9-top3","pos","sins","Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
3,"Uninterested | Homo.Economicus | Influencer","9_top3data","100-9-top3","pos","sins","Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
4,"Uninterested | Homo.Economicus | Influencer | Careful","9_top3data","100-9-top3","pos","sins","Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
5,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter","9_top3data","100-9-top3","pos","sins","Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
6,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful","9_top3data","100-9-top3","pos","sins","Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
7,"Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn","9_top3data","100-9-top3","pos","sins","Uninterested | Homo.Economicus | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
