"pattern","freq","archetype","dist","sim_jaccard"
"pattern_4",2740460,"Early.Adopter",7,0
"pattern_3",2195166,"Early.Adopter",9,0
"pattern_1",1199441,"Early.Adopter",6,0
"pattern_2",663042,"Early.Adopter",8,0
"pattern_7",212788,"Early.Adopter",8,0
"pattern_8",198628,"Early.Adopter",6,0
"pattern_6",184764,"Early.Adopter",5,0
"pattern_5",151960,"Early.Adopter",8,0
"pattern_9",145369,"Early.Adopter",7,0
"pattern_12",68325,"Early.Adopter",4,0
"pattern_11",55134,"Early.Adopter",9,0
"pattern_14",45484,"Early.Adopter",8,0
"pattern_16",39260,"Early.Adopter",7,0
"pattern_15",26302,"Early.Adopter",9,0
"pattern_18",23887,"Early.Adopter",9,0
"pattern_17",16417,"Early.Adopter",7,0
"pattern_13",10644,"Early.Adopter",7,0
"pattern_10",3615,"Early.Adopter",4,0
"pattern_20",3358,"Early.Adopter",5,0
"pattern_21",2542,"Early.Adopter",5,0
"pattern_24",2393,"Early.Adopter",8,0
"pattern_19",1459,"Early.Adopter",7,0
"pattern_32",1158,"Early.Adopter",7,0
"pattern_29",865,"Early.Adopter",6,0
"pattern_25",853,"Early.Adopter",8,0
"pattern_23",832,"Early.Adopter",6,0
"pattern_28",822,"Early.Adopter",8,0
"pattern_22",751,"Early.Adopter",6,0
"pattern_30",747,"Early.Adopter",6,0
"pattern_34",725,"Early.Adopter",8,0
"pattern_31",592,"Early.Adopter",8,0
"pattern_36",584,"Early.Adopter",4,1
"pattern_38",411,"Early.Adopter",5,0
"pattern_37",266,"Early.Adopter",8,0
"pattern_27",255,"Early.Adopter",8,0
"pattern_35",170,"Early.Adopter",7,0
"pattern_39",142,"Early.Adopter",6,0
"pattern_33",124,"Early.Adopter",8,0
"pattern_26",88,"Early.Adopter",7,0
"pattern_42",36,"Early.Adopter",7,0
"pattern_41",35,"Early.Adopter",7,0
"pattern_49",23,"Early.Adopter",5,0
"pattern_43",17,"Early.Adopter",5,0
"pattern_40",13,"Early.Adopter",4,0
"pattern_44",11,"Early.Adopter",5,0
"pattern_53",5,"Early.Adopter",6,0
"pattern_57",5,"Early.Adopter",7,0
"pattern_47",4,"Early.Adopter",6,0
"pattern_48",4,"Early.Adopter",9,0
"pattern_52",4,"Early.Adopter",6,0
"pattern_55",4,"Early.Adopter",5,0
"pattern_59",3,"Early.Adopter",5,0
"pattern_45",2,"Early.Adopter",6,0
"pattern_46",2,"Early.Adopter",8,0
"pattern_51",2,"Early.Adopter",7,0
"pattern_50",1,"Early.Adopter",7,0
"pattern_54",1,"Early.Adopter",8,0
"pattern_56",1,"Early.Adopter",6,0
"pattern_58",1,"Early.Adopter",5,0
"pattern_60",1,"Early.Adopter",7,0
"pattern_61",1,"Early.Adopter",8,0
"pattern_62",1,"Early.Adopter",5,0
"pattern_4",2740460,"Uninterested",6,0.2
"pattern_3",2195166,"Uninterested",8,0.111111111111111
"pattern_1",1199441,"Uninterested",7,0
"pattern_2",663042,"Uninterested",6,0.166666666666667
"pattern_7",212788,"Uninterested",7,0.125
"pattern_8",198628,"Uninterested",6,0.25
"pattern_6",184764,"Uninterested",7,0
"pattern_5",151960,"Uninterested",7,0.142857142857143
"pattern_9",145369,"Uninterested",7,0.166666666666667
"pattern_12",68325,"Uninterested",6,0
"pattern_11",55134,"Uninterested",8,0.125
"pattern_14",45484,"Uninterested",6,0.142857142857143
"pattern_16",39260,"Uninterested",7,0
"pattern_15",26302,"Uninterested",7,0.125
"pattern_18",23887,"Uninterested",7,0.142857142857143
"pattern_17",16417,"Uninterested",7,0.142857142857143
"pattern_13",10644,"Uninterested",6,0.166666666666667
"pattern_10",3615,"Uninterested",5,0
"pattern_20",3358,"Uninterested",6,0
"pattern_21",2542,"Uninterested",5,0.333333333333333
"pattern_24",2393,"Uninterested",9,0
"pattern_19",1459,"Uninterested",7,0
"pattern_32",1158,"Uninterested",8,0
"pattern_29",865,"Uninterested",7,0
"pattern_25",853,"Uninterested",8,0.125
"pattern_23",832,"Uninterested",7,0.2
"pattern_28",822,"Uninterested",8,0.142857142857143
"pattern_22",751,"Uninterested",8,0
"pattern_30",747,"Uninterested",8,0
"pattern_34",725,"Uninterested",8,0
"pattern_31",592,"Uninterested",7,0.166666666666667
"pattern_36",584,"Uninterested",5,0
"pattern_38",411,"Uninterested",6,0
"pattern_37",266,"Uninterested",8,0
"pattern_27",255,"Uninterested",7,0.142857142857143
"pattern_35",170,"Uninterested",8,0
"pattern_39",142,"Uninterested",5,0.25
"pattern_33",124,"Uninterested",9,0
"pattern_26",88,"Uninterested",9,0
"pattern_42",36,"Uninterested",8,0
"pattern_41",35,"Uninterested",8,0
"pattern_49",23,"Uninterested",5,0
"pattern_43",17,"Uninterested",8,0
"pattern_40",13,"Uninterested",6,0
"pattern_44",11,"Uninterested",4,0.5
"pattern_53",5,"Uninterested",6,0.25
