"mode","scenario","type","K","D","cluster","n_active_dims","active_dims","n_patterns","pct_total_patterns","pct_rest_patterns","assigned_pct","unassigned_pct"
"32","10-32","ext",1,0,1,0,"",1,0.000931202741460871,100,14.1062875,85.8937125
"32","10-32","ext",1,2,1,0,"",159,0.148061235892278,100,14.1062875,85.8937125
"32","10-32","ext",1,4,1,0,"",1052,0.979625284016836,100,14.1062875,85.8937125
"32","10-32","ext",1,6,1,0,"",3978,3.70432450553134,100,14.1062875,85.8937125
"32","10-32","ext",1,8,1,0,"",10463,9.74317428390509,100,14.1062875,85.8937125
"32","10-32","ext",1,10,1,0,"",20883,19.4463068499274,100,14.1062875,85.8937125
"32","10-32","ext",2,0,1,0,"",1,0.000931202741460871,100,17.8382625,82.1617375
"32","10-32","ext",2,0,2,5,"SOCIALISING | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",1,0.000931202741460871,99.9990687972585,17.8382625,82.1617375
"32","10-32","ext",2,2,1,0,"",159,0.148061235892278,100,17.8382625,82.1617375
"32","10-32","ext",2,2,2,5,"SOCIALISING | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",200,0.186240548292174,99.8519387641077,17.8382625,82.1617375
"32","10-32","ext",2,4,1,0,"",1052,0.979625284016836,100,17.8382625,82.1617375
"32","10-32","ext",2,4,2,5,"SOCIALISING | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",1992,1.85495586099005,99.0203747159832,17.8382625,82.1617375
"32","10-32","ext",2,6,1,0,"",3978,3.70432450553134,100,17.8382625,82.1617375
"32","10-32","ext",2,6,2,7,"KNOWLEDGE | SOCIALISING | FUN | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",5817,5.41680634707789,96.2956754944687,17.8382625,82.1617375
"32","10-32","ext",2,8,1,0,"",10463,9.74317428390509,100,17.8382625,82.1617375
"32","10-32","ext",2,8,2,15,"CREDIT.SCORE | RISK.PROFILE | LEGAL | TRUST | SAFETY | COST.EFFICIENCY | KNOWLEDGE | OWN.COMPETENCE | TECHNICAL.FIT | SELF.SATISFACTION | COMMITMENT | ADHERENCE | WELLBEING | RECOGNITION | OWN.SIGNIFICANCE",26116,24.3192907959921,90.2568257160949,17.8382625,82.1617375
"32","10-32","ext",2,10,1,0,"",20883,19.4463068499274,100,17.8382625,82.1617375
"32","10-32","ext",2,10,2,15,"CREDIT.SCORE | RISK.PROFILE | LEGAL | TRUST | SAFETY | COST.EFFICIENCY | KNOWLEDGE | OWN.COMPETENCE | TECHNICAL.FIT | SELF.SATISFACTION | COMMITMENT | ADHERENCE | WELLBEING | RECOGNITION | OWN.SIGNIFICANCE",45813,42.6611911945469,80.5536931500726,17.8382625,82.1617375
"32","10-32","ext",3,0,1,0,"",1,0.000931202741460871,100,19.7975875,80.2024125
"32","10-32","ext",3,0,2,5,"SOCIALISING | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",1,0.000931202741460871,99.9990687972585,19.7975875,80.2024125
"32","10-32","ext",3,0,3,7,"KNOWLEDGE | SOCIALISING | FUN | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",1,0.000931202741460871,99.9981375945171,19.7975875,80.2024125
"32","10-32","ext",3,2,1,0,"",159,0.148061235892278,100,19.7975875,80.2024125
"32","10-32","ext",3,2,2,5,"SOCIALISING | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",200,0.186240548292174,99.8519387641077,19.7975875,80.2024125
"32","10-32","ext",3,2,3,3,"COST.EFFICIENCY | KNOWLEDGE | SELF.SATISFACTION",185,0.172272507170261,99.6656982158156,19.7975875,80.2024125
"32","10-32","ext",3,4,1,0,"",1052,0.979625284016836,100,19.7975875,80.2024125
"32","10-32","ext",3,4,2,5,"SOCIALISING | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",1992,1.85495586099005,99.0203747159832,19.7975875,80.2024125
"32","10-32","ext",3,4,3,15,"CREDIT.SCORE | RISK.PROFILE | LEGAL | TRUST | SAFETY | COST.EFFICIENCY | KNOWLEDGE | OWN.COMPETENCE | TECHNICAL.FIT | SELF.SATISFACTION | COMMITMENT | ADHERENCE | WELLBEING | RECOGNITION | OWN.SIGNIFICANCE",1773,1.65102246061012,97.1654188549931,19.7975875,80.2024125
"32","10-32","ext",3,6,1,0,"",3978,3.70432450553134,100,19.7975875,80.2024125
"32","10-32","ext",3,6,2,7,"KNOWLEDGE | SOCIALISING | FUN | RECOGNITION | TRENDS | AUTHORITY | OWN.SIGNIFICANCE",5817,5.41680634707789,96.2956754944687,19.7975875,80.2024125
