"pattern_id","cluster"
3,1
4,1
8,1
13,1
14,1
18,1
20,1
26,1
31,1
33,1
46,1
62,1
64,1
69,1
70,1
86,1
88,1
96,1
105,1
106,1
116,1
118,1
123,1
142,1
157,1
177,1
179,1
206,1
212,1
225,1
239,1
240,1
266,1
267,1
299,1
300,1
314,1
318,1
334,1
351,1
365,1
367,1
369,1
375,1
378,1
380,1
385,1
391,1
404,1
418,1
432,1
448,1
487,1
493,1
508,1
534,1
537,1
547,1
580,1
599,1
601,1
604,1
607,1
617,1
631,1
659,1
667,1
681,1
698,1
737,1
746,1
761,1
768,1
791,1
801,1
842,1
850,1
873,1
900,1
901,1
935,1
1023,1
1032,1
1064,1
1065,1
1118,1
1178,1
1181,1
1200,1
1219,1
1268,1
1282,1
1309,1
1319,1
1327,1
1338,1
1413,1
1428,1
1429,1
1451,1
1462,1
1483,1
1498,1
1559,1
1639,1
1668,1
1672,1
1738,1
1748,1
1771,1
1839,1
1845,1
1846,1
1901,1
1975,1
2042,1
2163,1
2189,1
2313,1
2366,1
2403,1
2412,1
2451,1
2525,1
2601,1
2783,1
2800,1
2813,1
2886,1
2906,1
2921,1
3015,1
3068,1
3080,1
3116,1
3154,1
3252,1
3459,1
3473,1
3709,1
3717,1
3728,1
3803,1
3808,1
3821,1
4076,1
4101,1
4109,1
4153,1
4157,1
4226,1
4276,1
4319,1
4335,1
4418,1
4442,1
4509,1
4555,1
4594,1
4638,1
4702,1
5023,1
5097,1
5175,1
5225,1
5292,1
5362,1
5381,1
5407,1
5602,1
5797,1
5954,1
6145,1
6365,1
6697,1
6721,1
6722,1
7192,1
7431,1
7681,1
7835,1
8390,1
8733,1
8865,1
9072,1
9416,1
9461,1
9618,1
9720,1
9772,1
9823,1
10061,1
10778,1
11080,1
11182,1
11290,1
11311,1
11905,1
12218,1
12560,1
12655,1
12821,1
13216,1
13335,1
13774,1
14497,1
14750,1
14798,1
14914,1
15368,1
15409,1
15751,1
15946,1
16011,1
16179,1
16314,1
16565,1
17222,1
17438,1
17509,1
17534,1
17726,1
1,2
2,2
9,2
15,2
22,2
30,2
34,2
35,2
36,2
38,2
41,2
42,2
44,2
45,2
57,2
58,2
60,2
63,2
67,2
72,2
79,2
84,2
92,2
93,2
97,2
101,2
113,2
122,2
125,2
133,2
139,2
152,2
153,2
164,2
173,2
205,2
208,2
230,2
268,2
275,2
276,2
371,2
377,2
394,2
399,2
408,2
412,2
425,2
427,2
459,2
462,2
480,2
484,2
494,2
495,2
499,2
518,2
525,2
536,2
545,2
555,2
559,2
560,2
563,2
588,2
590,2
595,2
615,2
616,2
641,2
679,2
691,2
696,2
708,2
747,2
752,2
778,2
788,2
796,2
810,2
823,2
837,2
871,2
881,2
921,2
1019,2
1020,2
1030,2
1097,2
1198,2
1202,2
1207,2
1243,2
1244,2
1284,2
1286,2
1324,2
1357,2
1396,2
1432,2
1563,2
1566,2
1615,2
1631,2
1696,2
1699,2
1703,2
1709,2
1812,2
1830,2
1954,2
1957,2
2019,2
2031,2
2038,2
