analysis_sample,matrix,h,p,method,left_id,right_id,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
COMPLETE,RAW,4,5,EFA,EFA3,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,5,EFA,EFA4,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,4,5,EFA,EFA5,Fearful,13,9,7,53.84615384615385,77.77777777777777,46.666666666666664,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,RAW,4,6,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,4,6,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,6,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,4,6,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,4,6,KMEANS,KM5,Influencer,11,5,5,45.45454545454545,100,45.45454545454545,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,6,KMEANS,KM6,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,6,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,6,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,4,6,EFA,EFA3,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,6,EFA,EFA4,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,4,6,EFA,EFA5,Fearful,13,9,7,53.84615384615385,77.77777777777777,46.666666666666664,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,RAW,4,6,EFA,EFA6,Fearful,13,9,6,46.15384615384615,66.66666666666667,37.5,det_02_credit_score; det_03_risk_profile; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
COMPLETE,RAW,4,7,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,4,7,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,7,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,4,7,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,4,7,KMEANS,KM5,Influencer,11,5,5,45.45454545454545,100,45.45454545454545,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,7,KMEANS,KM6,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,7,KMEANS,KM7,Careful,15,12,9,60,75,50,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,4,7,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,7,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,4,7,EFA,EFA3,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,7,EFA,EFA4,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,4,7,EFA,EFA5,Fearful,13,9,7,53.84615384615385,77.77777777777777,46.666666666666664,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,RAW,4,7,EFA,EFA6,Fearful,13,9,6,46.15384615384615,66.66666666666667,37.5,det_02_credit_score; det_03_risk_profile; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
COMPLETE,RAW,4,7,EFA,EFA7,Careful,9,12,6,66.66666666666667,50,40,det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence
COMPLETE,RAW,4,8,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,4,8,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,8,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,4,8,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,4,8,KMEANS,KM5,Influencer,11,5,5,45.45454545454545,100,45.45454545454545,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,8,KMEANS,KM6,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,8,KMEANS,KM7,Careful,15,12,9,60,75,50,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,4,8,KMEANS,KM8,Careful,14,12,10,71.42857142857143,83.33333333333333,62.5,det_02_credit_score; det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,4,8,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,8,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,4,8,EFA,EFA3,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,4,8,EFA,EFA4,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,4,8,EFA,EFA5,Fearful,13,9,7,53.84615384615385,77.77777777777777,46.666666666666664,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_19_wellbeing
COMPLETE,RAW,4,8,EFA,EFA6,Fearful,13,9,6,46.15384615384615,66.66666666666667,37.5,det_02_credit_score; det_03_risk_profile; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
COMPLETE,RAW,4,8,EFA,EFA7,Careful,9,12,6,66.66666666666667,50,40,det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence
COMPLETE,RAW,4,8,EFA,EFA8,Activist,12,6,4,33.333333333333336,66.66666666666667,28.571428571428573,det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence
COMPLETE,RAW,5,4,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,4,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,4,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,4,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,4,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,4,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,5,4,EFA,EFA3,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,5,4,EFA,EFA4,Influencer,14,5,5,35.714285714285715,100,35.714285714285715,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,5,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,5,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,5,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,5,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,5,KMEANS,KM5,Influencer,11,5,5,45.45454545454545,100,45.45454545454545,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,5,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,5,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,5,5,EFA,EFA3,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,5,5,EFA,EFA4,Influencer,14,5,5,35.714285714285715,100,35.714285714285715,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,5,EFA,EFA5,Careful,14,12,8,57.142857142857146,66.66666666666667,44.44444444444444,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,6,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,6,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,6,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,6,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,6,KMEANS,KM5,Influencer,11,5,5,45.45454545454545,100,45.45454545454545,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,6,KMEANS,KM6,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,6,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,6,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,5,6,EFA,EFA3,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,5,6,EFA,EFA4,Influencer,14,5,5,35.714285714285715,100,35.714285714285715,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,6,EFA,EFA5,Careful,14,12,8,57.142857142857146,66.66666666666667,44.44444444444444,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,6,EFA,EFA6,Careful,9,12,6,66.66666666666667,50,40,det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence
COMPLETE,RAW,5,7,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,7,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,7,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,7,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,7,KMEANS,KM5,Influencer,11,5,5,45.45454545454545,100,45.45454545454545,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,7,KMEANS,KM6,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,7,KMEANS,KM7,Careful,15,12,9,60,75,50,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,7,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,7,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,5,7,EFA,EFA3,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,5,7,EFA,EFA4,Influencer,14,5,5,35.714285714285715,100,35.714285714285715,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,7,EFA,EFA5,Careful,14,12,8,57.142857142857146,66.66666666666667,44.44444444444444,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,7,EFA,EFA6,Careful,9,12,6,66.66666666666667,50,40,det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence
COMPLETE,RAW,5,7,EFA,EFA7,Activist,12,6,4,33.333333333333336,66.66666666666667,28.571428571428573,det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence
COMPLETE,RAW,5,8,KMEANS,KM1,Homo.Economicus,8,9,5,62.5,55.55555555555556,41.666666666666664,det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,8,KMEANS,KM2,Influencer,9,5,5,55.55555555555556,100,55.55555555555556,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,8,KMEANS,KM3,Homo.Economicus,15,9,8,53.333333333333336,88.88888888888889,50,det_01_profits; det_07_legal; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction
COMPLETE,RAW,5,8,KMEANS,KM4,Careful,9,12,7,77.77777777777777,58.333333333333336,50,det_02_credit_score; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,8,KMEANS,KM5,Influencer,11,5,5,45.45454545454545,100,45.45454545454545,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,8,KMEANS,KM6,Influencer,13,5,5,38.46153846153846,100,38.46153846153846,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,8,KMEANS,KM7,Careful,15,12,9,60,75,50,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_16_commitment; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,8,KMEANS,KM8,Fearful,9,9,5,55.55555555555556,55.55555555555556,38.46153846153846,det_07_legal; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_19_wellbeing
COMPLETE,RAW,5,8,EFA,EFA1,Influencer,8,5,4,50,80,44.44444444444444,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,8,EFA,EFA2,Fearful,8,9,4,50,44.44444444444444,30.76923076923077,det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_13_technical_fit
COMPLETE,RAW,5,8,EFA,EFA3,Uninterested,8,6,2,25,33.333333333333336,16.666666666666668,det_19_wellbeing; det_20_coziness
COMPLETE,RAW,5,8,EFA,EFA4,Influencer,14,5,5,35.714285714285715,100,35.714285714285715,det_11_knowledge; det_22_peer_pressure; det_24_socialising; det_28_recognition; det_31_approval
COMPLETE,RAW,5,8,EFA,EFA5,Careful,14,12,8,57.142857142857146,66.66666666666667,44.44444444444444,det_02_credit_score; det_03_risk_profile; det_09_safety; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_17_adherence; det_19_wellbeing
COMPLETE,RAW,5,8,EFA,EFA6,Careful,9,12,6,66.66666666666667,50,40,det_03_risk_profile; det_08_trust; det_09_safety; det_11_knowledge; det_16_commitment; det_17_adherence
COMPLETE,RAW,5,8,EFA,EFA7,Activist,12,6,4,33.333333333333336,66.66666666666667,28.571428571428573,det_08_trust; det_14_environmental_concerns; det_16_commitment; det_17_adherence
COMPLETE,RAW,5,8,EFA,EFA8,Fearful,14,9,6,42.857142857142854,66.66666666666667,35.294117647058826,det_02_credit_score; det_03_risk_profile; det_07_legal; det_10_cost_efficiency; det_11_knowledge; det_13_technical_fit
