analysis_sample,matrix_name,matrix,h,p,coverage_kmeans,coverage_efa,mean_signature_size_kmeans,mean_signature_size_efa,mean_km_efa_overlap,median_km_efa_overlap,mean_km_efa_jaccard,median_km_efa_jaccard,mean_km_expert_jaccard_hungarian,mean_km_expert_best_jaccard,mean_efa_expert_jaccard_hungarian,mean_efa_expert_best_jaccard,n_km_efa_overlap_ge_50,n_km_expert_jaccard_ge_50,n_efa_expert_jaccard_ge_50
COMPLETE,matrix_32_raw_0_1,RAW,2,4,16.05267857142809,18.36592261904691,10.25,8.75,48.263888888888886,40.97222222222222,36.824252136752136,29.273504273504273,48.263888888888886,49.30555555555556,28.327228327228326,34.33372183372183,1,3,0
COMPLETE,matrix_32_raw_0_1,RAW,2,5,18.91556547618991,20.834851190475387,10.6,9.8,55,50,40.82051282051282,30.76923076923077,43.31699346405229,47.77777777777778,25.661782661782663,34.60983460983461,3,3,0
COMPLETE,matrix_32_raw_0_1,RAW,2,6,22.899761904761224,23.651339285713373,10.666666666666666,10,59.785353535353536,58.52272727272727,44.25291484115014,49.803921568627445,41.225699681582036,47.39057239057239,27.267171825995355,34.72388178270531,4,3,0
COMPLETE,matrix_32_raw_0_1,RAW,2,7,25.98083333333256,25.555952380951393,11,10.428571428571429,61.98939948939949,62.5,44.82459650526877,46.666666666666664,38.01488544135603,46.11499611499612,28.36001067093504,36.42999390898551,5,3,0
COMPLETE,matrix_32_raw_0_1,RAW,2,8,29.1869047619039,27.38547619047513,11.5,10.25,60.65389471639472,60.41666666666667,45.97154887596064,53.58974358974359,40.17478946706888,47.70356277709219,28.34429255385138,36.87624467036232,5,4,0
COMPLETE,matrix_32_raw_0_1,RAW,3,4,29.482142857142065,26.146339285713253,10.25,9,51.388888888888886,47.22222222222222,38.386752136752136,29.273504273504273,48.263888888888886,49.30555555555556,27.970085470085472,33.386752136752136,2,3,0
COMPLETE,matrix_32_raw_0_1,RAW,3,5,37.16187499999901,28.54955357142745,10.4,9.8,58.13131313131313,54.54545454545455,42.59126984126984,43.75,44.76495726495727,48.535353535353536,30.555555555555554,36.04273504273504,3,3,0
COMPLETE,matrix_32_raw_0_1,RAW,3,6,43.159166666665485,30.91238095237974,10.833333333333334,10.333333333333334,61.9042994042994,64.77272727272728,43.70000778089013,41.875,41.00783475783476,46.85638435638435,31.712962962962962,36.285612535612536,4,3,0
COMPLETE,matrix_32_raw_0_1,RAW,3,7,47.16485119047489,34.19267857142723,11.428571428571429,10.142857142857142,60.08491508491508,69.23076923076923,44.92898441427853,40,43.05690224807872,48.565976507152975,30.753968253968253,36.81623931623932,4,4,0
COMPLETE,matrix_32_raw_0_1,RAW,3,8,51.468928571427135,38.14059523809374,11.875,10.375,58.10460372960373,61.282051282051285,44.31286136249371,45,41.58103946706888,48.74522944375885,30.128586691086692,35.78563797313797,5,4,0
COMPLETE,matrix_32_raw_0_1,RAW,4,4,45.80663690476081,32.69669642857012,10.25,9.25,51.388888888888886,47.22222222222222,38.01910507792861,29.273504273504273,48.263888888888886,49.30555555555556,27.657585470085472,32.585470085470085,2,3,0
COMPLETE,matrix_32_raw_0_1,RAW,4,5,56.824553571427224,35.17800595237955,10.4,10,58.13131313131313,54.54545454545455,42.0765639589169,41.1764705882353,44.76495726495727,48.535353535353536,30.305555555555554,35.401709401709404,3,3,0
COMPLETE,matrix_32_raw_0_1,RAW,4,6,64.54491071428417,37.568779761903265,10.833333333333334,10.5,61.9042994042994,64.77272727272728,43.27108621226269,40.58823529411765,41.00783475783476,46.85638435638435,31.50462962962963,35.7514245014245,4,3,0
COMPLETE,matrix_32_raw_0_1,RAW,4,7,69.81636904761734,42.262976190474475,11.428571428571429,10.285714285714286,60.67987567987568,54.54545454545455,44.23235961051087,41.1764705882353,41.796398046398046,47.30547230547231,30.575396825396826,36.35836385836386,5,4,0
COMPLETE,matrix_32_raw_0_1,RAW,4,8,72.09550595237917,47.92392857142662,11.75,10.5,58.461746586746585,61.282051282051285,43.795226423902896,45,42.04059829059829,49.204788267288265,29.972336691086692,35.384996947496944,5,4,0
COMPLETE,matrix_32_raw_0_1,RAW,5,4,62.25889880952192,38.3003571428558,10.25,9.5,51.388888888888886,47.22222222222222,37.69230769230769,29.273504273504273,48.263888888888886,49.30555555555556,27.381850175967823,31.8986568986569,2,3,0
COMPLETE,matrix_32_raw_0_1,RAW,5,5,74.16636904761691,40.439999999998584,10.4,10.4,60.35353535353536,54.54545454545455,43.04761904761905,38.888888888888886,44.76495726495727,48.535353535353536,30.794369029663148,34.407814407814406,3,3,0
COMPLETE,matrix_32_raw_0_1,RAW,5,6,81.25934523809293,47.16407738095062,10.833333333333334,10.166666666666666,58.232970732970735,56.64335664335664,43.36212262682851,43.30065359477124,41.00783475783476,46.85638435638435,30.803586391821685,35.33984533984534,3,3,0
COMPLETE,matrix_32_raw_0_1,RAW,5,7,85.04398809523568,54.018928571426535,11.428571428571429,10.428571428571429,56.234321234321236,53.333333333333336,42.88181939442444,50,41.796398046398046,47.30547230547231,30.4847067031941,34.37292865864295,4,4,0
COMPLETE,matrix_32_raw_0_1,RAW,5,8,87.09336309523563,56.13916666666455,11.125,10.875,61.010586635586634,64.16666666666667,44.47447096247406,51.315789473684205,39.69684829059829,46.19998057498057,29.72967392085039,34.48807728219493,5,4,0
